order_id,session_id,order_date,order_value
O20012757,S739320978,2025-07-14,60.97
O27916404,S978519445,2025-07-17,92.86
O64330717,S496105456,2025-06-29,58.81
O90204001,S831612837,2025-07-03,117.76
O57626780,S165235376,2025-07-10,76.62
O36985985,S520065514,2025-05-31,67.12
O37997292,S376203626,2025-08-18,50.24
O73562848,S535314801,2025-08-01,71.82
O18117225,S717176351,2025-08-03,94.12
O82880633,S236304454,2025-06-28,116.06
O50578321,S403945091,2025-06-15,98.27
O6817154,S290585595,2025-08-13,61.4
O35201071,S795914432,2025-05-27,88.13
O71441241,S23660613,2025-06-14,96.79
O13930719,S417191002,2025-06-16,63.86
O32787446,S299024910,2025-08-01,49.77
O43570753,S539533332,2025-08-12,106.08
O94243510,S409637724,2025-05-26,102.84
O5784877,S423329916,2025-07-17,34.34
O80421136,S353379055,2025-07-30,127.34
O4887517,S192927227,2025-06-04,141.55
O14525722,S644959280,2025-08-12,78.8
O318350,S574703584,2025-06-08,125.56
O35579163,S579476709,2025-06-24,55.49
O48816356,S477497807,2025-06-06,158.66
O94343111,S764293366,2025-07-03,98.03
O59917518,S635868290,2025-07-04,99.45
O98935648,S905315912,2025-08-04,127.26
O65581732,S806084463,2025-06-02,80.64
O57422195,S271116266,2025-08-12,58.87
O64041978,S308348329,2025-07-04,119.25
O55060983,S842855005,2025-06-09,119.61
O50331616,S805036567,2025-06-23,78.62
O72527467,S935029772,2025-06-22,123.1
O49200140,S774539287,2025-06-16,82.7
O16015934,S642408053,2025-06-11,100.49
O1314411,S843135810,2025-06-23,139.47
O6470173,S949036341,2025-07-14,66.84
O15504996,S685516664,2025-07-23,65.71
O791930,S366197522,2025-08-10,73.75
O43372284,S472353351,2025-05-24,59.72
O5207876,S129218528,2025-07-15,67.45
O9900547,S992549517,2025-07-30,51.72
O97248695,S58532728,2025-06-23,129.92
O62061858,S194419972,2025-08-12,99.35
O58770457,S671057640,2025-08-20,97.38
O90577171,S539402002,2025-07-04,88.23
O9889055,S123786544,2025-07-06,85.94
O82229003,S828018612,2025-07-01,71.03
O25933768,S313692090,2025-07-23,45.23
O3164332,S77528991,2025-08-15,82.81
O9266262,S595030917,2025-08-20,99.07
O17407114,S101610798,2025-06-19,116.34
O18647242,S83128936,2025-07-26,136.25
O24447411,S651321211,2025-08-06,106.82
O64099088,S960097481,2025-07-26,74.44
O46169700,S584249810,2025-06-06,65.28
O28642748,S765373213,2025-06-26,116.98
O43028647,S927598316,2025-07-20,61.46
O50432909,S48731595,2025-07-27,74.23
O39921870,S56821679,2025-07-01,106.46
O9109002,S396132704,2025-07-08,79.65
O12158765,S200013410,2025-05-29,66.68
O31192311,S140486693,2025-06-06,75.96
O40852505,S446076674,2025-06-03,89.16
O10476340,S288552828,2025-06-03,112.03
O61818357,S150664412,2025-07-19,108.15
O35368998,S837120414,2025-08-27,65.55
O74368562,S873406263,2025-07-24,113.58
O21596923,S32760365,2025-07-06,117.54
O10525327,S963429306,2025-07-17,73.39
O68132959,S301912059,2025-07-07,93.65
O6309997,S701491797,2025-05-18,60.73
O1776676,S197306536,2025-07-14,156.24
O38202898,S493554548,2025-07-25,92.86
O54370698,S412198811,2025-07-20,76.57
O93824095,S965915824,2025-06-14,107.05
O4602366,S138578823,2025-06-20,44.9
O19080909,S22160692,2025-05-27,128.31
O35409465,S841529691,2025-05-26,58.19
O1181497,S905308722,2025-06-01,57.91
O4241083,S454405849,2025-07-09,78.78
O83679108,S224196453,2025-07-28,128.24
O3565253,S280615629,2025-08-03,142.94
O96705226,S813153567,2025-08-10,123.44
O47211285,S16652125,2025-06-27,102.6
O12780487,S272420219,2025-06-03,122.45
O53737407,S155012083,2025-05-28,105.94
O84490778,S51360871,2025-08-10,99.12
O51358626,S202443443,2025-05-31,36.65
O97538944,S763139428,2025-05-28,85.24
O74678193,S15971798,2025-06-07,84.18
O89052755,S148962300,2025-06-11,63.87
O30885511,S266501469,2025-06-03,85.56
O24157384,S824416669,2025-07-15,115.51
O51620645,S43474620,2025-07-08,88.0
O63117748,S215150216,2025-08-10,60.29
O48976245,S567242748,2025-07-28,86.55
O60343556,S139018522,2025-07-29,78.36
O13869316,S481229984,2025-06-16,113.37
O63048863,S958555733,2025-06-08,59.44
O39351868,S354263442,2025-07-20,125.16
O70729681,S551212638,2025-08-05,87.65
O77216961,S317857185,2025-06-02,100.32
O49664184,S92520407,2025-06-09,112.04
O13348147,S224107958,2025-07-09,101.84
O48143279,S962202129,2025-05-24,128.67
O23501554,S676302243,2025-05-29,87.51
O20770246,S299336885,2025-06-26,143.41
O52609635,S558879178,2025-07-15,79.52
O50717108,S933417297,2025-05-28,149.35
O11038503,S668545335,2025-07-11,68.01
O19246153,S611056177,2025-06-26,93.2
O17895896,S136211558,2025-06-26,119.17
O44914981,S616116224,2025-07-01,81.61
O12295722,S129133628,2025-06-20,103.7
O60330641,S824870407,2025-07-22,43.93
O43580994,S235923252,2025-05-18,116.06
O84385947,S856359054,2025-06-20,51.16
O83881824,S939378458,2025-05-28,61.66
O85158177,S653522942,2025-08-01,88.25
O10396108,S800416215,2025-07-30,115.5
O86273214,S415256175,2025-06-19,28.35
O4197201,S120088692,2025-08-13,60.43
O53785631,S530953685,2025-05-28,55.15
O94285715,S976217342,2025-08-18,86.14
O15361105,S464694041,2025-06-19,107.53
O16188526,S584496157,2025-06-22,97.33
O79761394,S430969188,2025-07-18,98.3
O11805526,S353769693,2025-05-29,85.92
O31795346,S610552204,2025-05-30,126.36
O65559061,S109744442,2025-06-18,42.07
O29065904,S544353968,2025-07-23,102.06
O12313048,S235893735,2025-05-18,88.3
O49976496,S735328513,2025-06-04,66.23
O95072327,S989467884,2025-08-03,98.25
O42666744,S401900337,2025-07-15,116.22
O7891295,S740325824,2025-07-21,119.1
O41133430,S765236404,2025-07-08,138.32
O99533842,S735269377,2025-07-11,97.03
O49277581,S879435699,2025-06-23,98.43
O45010104,S620462228,2025-07-30,93.66
O86686463,S979533527,2025-07-24,94.88
O78602371,S585193857,2025-06-10,100.43
O69313584,S973059414,2025-06-15,73.51
O95923802,S679423675,2025-06-03,44.62
O66021911,S361918178,2025-06-06,107.47
O2454303,S326349254,2025-06-15,47.33
O50013432,S605911846,2025-06-12,62.03
O53054495,S593861126,2025-08-18,44.48
O55038085,S90153926,2025-08-03,97.72
O96276176,S375204846,2025-08-19,93.71
O79240808,S692134915,2025-05-31,102.37
O70031309,S192247799,2025-07-14,73.76
O42259084,S80432509,2025-06-28,131.89
O50435685,S418862937,2025-05-27,27.63
O74912152,S180903650,2025-06-18,67.45
O79039887,S415059991,2025-07-23,129.18
O3116569,S639372574,2025-08-07,155.28
O21840347,S443409314,2025-08-08,77.51
O25030716,S275633606,2025-07-20,103.23
O85522411,S589183923,2025-06-27,115.51
O70956994,S917626007,2025-07-21,91.71
O82038312,S856619345,2025-07-30,38.05
O59511839,S951292260,2025-07-01,95.08
O15715248,S777280302,2025-08-09,117.0
O45919915,S950092573,2025-06-29,82.33
O55835192,S757223967,2025-08-01,81.7
O19738100,S714490016,2025-07-28,121.24
O77132197,S527410359,2025-06-20,57.37
O79742212,S920838452,2025-07-18,79.18
O51507299,S869058538,2025-05-23,70.56
O6603064,S210183386,2025-06-06,48.77
O47093005,S876813802,2025-06-13,123.18
O15899095,S50286038,2025-06-08,48.98
O88700348,S708239087,2025-06-15,57.43
O37811194,S176351539,2025-08-12,117.19
O77083005,S233204774,2025-07-18,91.39
O46638115,S337117407,2025-07-11,61.19
O78999576,S651654599,2025-07-03,112.95
O79837337,S607847572,2025-05-29,73.39
O26790330,S918140837,2025-06-07,147.3
O55271046,S878852670,2025-07-11,82.76
O2350000,S974059973,2025-05-19,111.83
O55301519,S737714266,2025-05-31,115.14
O84988719,S796050314,2025-06-06,112.71
O38796240,S850609380,2025-07-05,55.46
O51847077,S288433640,2025-07-12,145.35
O26167696,S254374291,2025-06-13,124.11
O56424034,S609742136,2025-07-09,97.97
O19646683,S264169770,2025-06-13,116.73
O41838838,S69119674,2025-06-27,75.81
O51029505,S912768517,2025-06-23,98.39
O24572754,S1652083,2025-06-18,122.03
O16563166,S969040129,2025-05-24,90.44
O34787143,S184811106,2025-08-03,61.88
O18409953,S617688279,2025-07-05,171.19
O98253309,S110853914,2025-08-01,84.98
O97313415,S53909295,2025-07-17,105.63
O19053191,S586205703,2025-06-02,125.15
O76429043,S493907084,2025-06-16,106.93
O45335023,S139177922,2025-06-12,117.93
O21205218,S20059655,2025-06-22,167.33
O65432771,S415257989,2025-06-29,87.4
O39974178,S890915985,2025-06-11,42.96
O59285714,S410240133,2025-06-06,57.06
O83778911,S510957384,2025-06-20,131.64
O94717989,S421624705,2025-06-05,106.49
O15309543,S464450336,2025-07-14,101.79
O99065917,S794971931,2025-07-31,78.0
O89570417,S498374010,2025-06-11,140.73
O71986456,S29031022,2025-07-17,50.84
O50016048,S568476774,2025-06-18,81.36
O70926873,S586730928,2025-06-16,95.89
O81350519,S845434337,2025-06-25,78.01
O65351997,S219471885,2025-06-04,99.33
O41276164,S444966903,2025-06-05,65.74
O26477429,S751004092,2025-06-24,75.69
O46565973,S234331854,2025-06-06,97.07
O54939508,S805917508,2025-06-29,111.86
O3137167,S613453614,2025-08-24,82.9
O48410340,S738643993,2025-08-05,94.55
O19582975,S997473073,2025-07-23,40.57
O21577220,S314075702,2025-06-15,102.37
O22374760,S957205479,2025-06-07,82.27
O61998502,S859576567,2025-06-17,126.64
O59098910,S135233195,2025-08-10,134.65
O93037836,S407781442,2025-08-11,133.87
O44221671,S480150499,2025-07-28,137.0
O92870043,S599085441,2025-06-22,40.31
O41537501,S845942468,2025-07-25,115.94
O38167506,S480293089,2025-08-14,52.46
O58871206,S153365724,2025-08-04,73.36
O86158230,S285002958,2025-06-07,69.17
O28142408,S880139167,2025-07-15,44.65
O41621828,S86024470,2025-07-22,112.46
O4266815,S55054715,2025-06-15,94.33
O9834275,S660241904,2025-06-05,88.5
O6209565,S921991705,2025-05-22,98.28
O53070830,S440866850,2025-06-19,133.05
O7817728,S991439018,2025-06-16,81.54
O30005899,S172829886,2025-08-11,73.38
O55594983,S87447284,2025-07-22,87.68
O11634114,S421554558,2025-06-18,77.3
O50820252,S454525637,2025-06-11,83.91
O67067018,S826690537,2025-06-05,104.42
O98761579,S961145109,2025-07-13,98.76
O39931967,S229166721,2025-08-05,73.66
O52333146,S150165115,2025-06-22,78.13
O82872691,S258484464,2025-07-22,35.85
O15981504,S830406512,2025-07-28,92.03
O40054544,S113778273,2025-06-16,103.63
O30069556,S118819650,2025-05-27,65.49
O77795163,S496861211,2025-07-22,65.6
O88133587,S377429567,2025-06-15,102.84
O89684885,S410187308,2025-07-11,75.46
O69080883,S573925067,2025-06-24,103.6
O87251577,S593360957,2025-06-15,62.68
O66653809,S246227252,2025-05-19,125.38
O81530275,S545227005,2025-06-19,52.53
O89069669,S201673397,2025-06-27,67.65
O64955932,S688448617,2025-06-22,105.13
O92757251,S241379310,2025-07-09,57.85
O64933077,S564918374,2025-05-25,106.61
O67062642,S903070330,2025-07-11,101.75
O62565319,S897533064,2025-06-25,83.98
O42619434,S310879831,2025-08-12,110.51
O67607089,S396501380,2025-07-14,59.68
O70647088,S802975198,2025-07-26,83.13
O7575749,S393866271,2025-07-16,128.72
O5810207,S188650627,2025-07-23,68.85
O26025373,S351966755,2025-06-07,78.41
O54655091,S508066507,2025-06-03,110.25
O54896879,S87798493,2025-07-24,68.15
O15537071,S216311058,2025-08-11,104.66
O24320899,S825502493,2025-07-22,59.35
O41193775,S25384170,2025-07-30,100.84
O89099788,S478870813,2025-06-30,85.41
O66920100,S975495721,2025-08-15,89.39
O87022832,S797341687,2025-08-16,84.75
O14094069,S423641874,2025-08-23,94.12
O65880224,S966469069,2025-08-11,105.04
O19240814,S725405216,2025-05-27,121.87
O72778116,S569549817,2025-06-09,57.92
O90921802,S484721507,2025-07-12,89.68
O27328042,S150659497,2025-07-22,107.48
O3408691,S171337771,2025-05-30,79.9
O99551049,S793006484,2025-07-17,96.56
O38795323,S131953484,2025-07-17,73.14
O95751200,S723085222,2025-08-02,35.95
O61790524,S102099030,2025-05-30,96.52
O19393086,S754811089,2025-07-21,99.69
O13357037,S576354795,2025-06-28,85.26
O97153827,S30935799,2025-07-01,84.49
O796275,S740357341,2025-05-30,90.51
O40090262,S67271244,2025-06-22,67.19
O47878426,S19629368,2025-06-17,24.58
O10135533,S614860822,2025-07-04,61.98
O34508947,S964360432,2025-07-13,86.84
O39502054,S281683920,2025-05-25,96.76
O86098921,S625764021,2025-07-20,63.53
O9649509,S422100772,2025-08-15,106.94
O71017509,S604443530,2025-07-27,94.68
O97480597,S323827836,2025-07-10,70.12
O8396186,S317135675,2025-08-15,126.01
O28842222,S900690423,2025-07-12,164.37
O91965319,S281794521,2025-07-16,106.74
O41916005,S728708704,2025-08-11,105.1
O46007386,S450902877,2025-07-22,87.58
O94673172,S107754382,2025-06-29,79.07
O46715130,S937660025,2025-08-05,116.61
O38132140,S737225465,2025-06-03,83.1
O14663649,S588770892,2025-08-05,87.72
O36964943,S496563293,2025-07-04,58.8
O80019670,S748586370,2025-07-19,74.32
O58649060,S755781153,2025-06-07,85.44
O43135068,S937493770,2025-06-15,120.89
O30340999,S505917140,2025-05-19,66.28
O35470128,S496417696,2025-06-23,72.64
O74330627,S573474728,2025-08-07,90.4
O73858710,S917469068,2025-08-15,100.63
O4405770,S680138573,2025-07-13,110.49
O41417505,S679923772,2025-06-08,61.53
O89949762,S20791248,2025-06-09,98.17
O74102468,S178025862,2025-07-16,28.08
O48111565,S592617332,2025-07-15,46.74
O83949232,S652295818,2025-06-22,115.62
O92461122,S91927359,2025-06-25,78.28
O66593091,S183650118,2025-07-18,101.47
O62456496,S782131553,2025-06-01,109.81
O11365265,S580112393,2025-08-04,56.35
O95848313,S51575705,2025-07-29,90.26
O46989983,S972656409,2025-07-20,89.8
O18994457,S297064918,2025-07-03,117.34
O56282796,S394685428,2025-07-11,108.85
O7064350,S815949497,2025-07-06,90.73
O52020618,S563954378,2025-06-13,65.71
O41166417,S535320615,2025-06-09,72.17
O81501666,S284615234,2025-05-20,51.43
O76496209,S771200910,2025-06-02,107.37
O35247137,S467194345,2025-07-04,95.88
O6145647,S781637162,2025-06-27,122.93
O5702768,S580179143,2025-06-12,94.59
O94312876,S854405576,2025-06-10,124.76
O44157147,S885854075,2025-07-28,125.62
O91414874,S541378637,2025-07-01,96.05
O81961517,S788125764,2025-05-21,128.33
O98630437,S519540321,2025-07-12,71.68
O52780054,S380059653,2025-06-12,93.65
O63521741,S564533706,2025-07-07,15.0
O10855834,S968155548,2025-06-10,78.48
O29846621,S938512726,2025-07-01,144.32
O61132157,S71601479,2025-06-20,106.07
O25984535,S560037493,2025-06-21,90.07
O26398987,S958970157,2025-07-26,100.85
O15424318,S222557786,2025-07-20,30.22
O3277759,S665698952,2025-06-28,40.49
O23706508,S589620836,2025-07-28,133.92
O99625087,S840823601,2025-07-27,33.05
O75671928,S974118946,2025-07-14,117.25
O55280126,S501338611,2025-08-06,109.92
O20338063,S261732974,2025-08-11,102.64
O87889786,S399843437,2025-08-04,122.19
O32380910,S323714431,2025-08-11,107.1
O28924160,S98779583,2025-06-30,103.96
O90626313,S385190892,2025-07-01,60.76
O45230559,S707259320,2025-06-08,92.05
O65482999,S911870247,2025-06-12,100.41
O3342082,S822696550,2025-07-13,74.7
O64243545,S404588993,2025-07-31,116.16
O10721345,S27960965,2025-07-14,70.8
O86629154,S204252590,2025-06-24,73.38
O87697074,S232745109,2025-07-26,134.02
O96117246,S623628442,2025-05-19,117.59
O8314664,S380408161,2025-06-02,117.94
O8770601,S418800273,2025-06-18,81.81
O85703047,S505583649,2025-05-20,79.67
O71061823,S80336089,2025-06-26,105.48
O2143504,S752280940,2025-07-08,64.32
O72391439,S670166815,2025-06-25,69.8
O58507791,S841941910,2025-07-04,80.43
O98588021,S735142048,2025-07-13,57.91
O24307805,S157432054,2025-07-19,127.2
O33613693,S481891517,2025-06-01,150.96
O10418341,S116957610,2025-06-21,88.28
O39664381,S809095749,2025-07-12,73.18
O95781971,S480907899,2025-08-06,123.99
O71640539,S320758177,2025-06-03,88.29
O96218929,S324799944,2025-07-30,101.16
O67136094,S879893340,2025-06-18,108.02
O79064124,S658590112,2025-07-19,66.51
O95136193,S536686395,2025-07-27,79.24
O76373293,S233233140,2025-06-15,93.22
O17020705,S928056091,2025-06-24,45.41
O35130894,S189824224,2025-06-01,78.19
O65795892,S296961291,2025-05-19,83.87
O94397945,S604919880,2025-06-15,116.38
O98830482,S72166470,2025-06-04,75.54
O96838196,S410017983,2025-06-12,75.4
O65502892,S41224707,2025-07-12,82.63
O24928024,S445205730,2025-07-10,81.48
O25413376,S465395844,2025-06-10,110.37
O99678176,S610518050,2025-06-11,77.61
O69098065,S295910947,2025-07-14,129.18
O88722996,S734721405,2025-07-19,140.17
O18325993,S774087883,2025-06-27,61.08
O55341841,S995288724,2025-08-12,90.33
O95286730,S631684929,2025-06-29,80.92
O74315749,S938594316,2025-06-24,62.96
O18054027,S588714947,2025-05-31,75.13
O95912534,S506288143,2025-07-15,108.1
O31668875,S83925984,2025-06-21,119.61
O28138992,S696541614,2025-07-31,70.49
O41631739,S145134318,2025-08-08,56.08
O69150414,S471339408,2025-06-28,97.24
O47001920,S143750747,2025-07-13,163.61
O74074908,S611812026,2025-06-04,137.02
O63604650,S856520457,2025-05-25,89.79
O62932722,S401965187,2025-06-15,135.38
O9578567,S892142062,2025-06-22,126.08
O25796128,S850023720,2025-06-24,101.22
O40392795,S980375121,2025-06-12,142.96
O86608944,S738317761,2025-06-21,113.54
O7646973,S499703887,2025-07-31,110.12
O99868139,S708980556,2025-08-15,74.94
O76448592,S612489760,2025-08-01,111.03
O34721472,S932566516,2025-06-21,94.96
O29075247,S777686762,2025-08-05,71.84
O31175239,S656737744,2025-07-25,110.86
O82314073,S668246729,2025-07-03,110.43
O32201233,S184807084,2025-07-31,61.3
O45073508,S712722068,2025-07-17,118.32
O30698046,S527628354,2025-06-22,139.73
O33652308,S176563159,2025-07-18,68.43
O23273106,S606111983,2025-07-18,67.92
O319302,S197533043,2025-08-07,85.61
O56623662,S359920029,2025-05-21,89.02
O75090400,S269699877,2025-07-25,124.11
O23164447,S455811173,2025-06-18,133.01
O22040851,S272315862,2025-06-02,115.69
O6237841,S119950181,2025-07-19,26.01
O19782459,S340195013,2025-07-17,101.28
O31075626,S477223896,2025-06-15,120.86
O47432543,S785575649,2025-07-31,89.36
O21762888,S43226535,2025-08-13,133.55
O27931689,S407823630,2025-06-08,122.7
O19580892,S696601438,2025-06-14,149.72
O17034716,S241619086,2025-06-19,83.44
O53388356,S23356066,2025-06-24,117.78
O50987957,S171017464,2025-08-22,121.69
O21272312,S349940689,2025-07-05,66.1
O192947,S675068947,2025-07-11,91.92
O42984472,S711087864,2025-06-17,107.07
O9174899,S839689857,2025-07-06,64.03
O14279235,S247622754,2025-07-01,117.28
O65330721,S290913782,2025-06-28,93.86
O11931130,S127112802,2025-08-19,76.48
O21912641,S500147324,2025-08-15,118.31
O38075583,S641421087,2025-07-09,75.25
O35093013,S204547440,2025-07-21,108.03
O91322417,S35714630,2025-05-28,158.46
O14177082,S650277626,2025-07-11,63.7
O3484702,S283703679,2025-08-01,105.62
O81754389,S391963036,2025-07-08,142.18
O934008,S967565467,2025-06-28,120.01
O41830346,S405004894,2025-06-18,91.18
O67020704,S795236067,2025-08-05,98.71
O60515988,S331671202,2025-07-07,105.9
O9312014,S376224998,2025-05-23,65.67
O34446988,S937766775,2025-06-01,141.87
O12540886,S984143035,2025-05-25,107.82
O73358418,S287164287,2025-05-26,89.42
O42173444,S188624302,2025-07-21,138.56
O1827657,S143421377,2025-08-07,115.42
O84192539,S213035492,2025-08-03,133.38
O3069510,S561044116,2025-05-19,89.6
O94646514,S659222524,2025-08-14,114.88
O98683972,S663252974,2025-05-21,91.29
O6072854,S120012683,2025-06-03,52.67
O94045448,S470699864,2025-07-29,154.13
O31920052,S139545426,2025-08-04,111.44
O11778052,S702677213,2025-06-01,93.04
O10989849,S902155401,2025-07-25,65.01
O54220235,S500845524,2025-07-28,115.54
O90674917,S498744324,2025-06-09,94.5
O68496059,S892181204,2025-06-27,77.63
O67934737,S498821448,2025-08-02,108.62
O71973612,S120996800,2025-08-02,122.08
O68889934,S255412836,2025-08-13,71.0
O20415844,S81863124,2025-07-29,102.27
O4402306,S801884206,2025-06-04,40.51
O3288003,S771880408,2025-06-07,112.0
O10179639,S525017562,2025-06-27,150.48
O80024771,S208484745,2025-05-18,87.76
O33582086,S704372986,2025-05-23,46.65
O33368155,S626215914,2025-07-30,112.19
O38126691,S881965894,2025-08-05,103.98
O65336932,S550298836,2025-06-18,114.52
O66693936,S615471783,2025-08-10,121.7
O953142,S338083491,2025-08-24,88.61
O66507574,S187124407,2025-08-16,97.71
O7074400,S720542498,2025-08-13,67.82
O90541732,S769178362,2025-08-09,15.46
O30939937,S277602323,2025-07-07,98.5
O38967954,S411951493,2025-06-16,116.27
O36518262,S701961526,2025-08-04,53.28
O98646761,S840016860,2025-06-15,59.25
O85548390,S89912856,2025-07-06,92.79
O45368667,S155903806,2025-07-15,94.45
O18507756,S970828068,2025-07-24,76.5
O50102218,S562811307,2025-06-17,62.68
O73287553,S358642609,2025-08-11,112.14
O93593224,S727316622,2025-06-01,104.0
O93179985,S408331118,2025-07-06,105.21
O7423042,S17311683,2025-07-05,68.18
O1182819,S268901706,2025-05-22,17.76
O32640045,S610337174,2025-07-17,86.13
O82989608,S522728283,2025-07-17,75.29
O39334515,S971613399,2025-07-19,72.86
O11097819,S824659746,2025-07-30,115.44
O47457429,S540815790,2025-05-23,102.29
O28876406,S5540273,2025-07-22,84.53
O8804569,S730849007,2025-06-04,57.9
O85792058,S633565695,2025-06-25,68.42
O86426632,S956776656,2025-05-25,79.43
O26755000,S804060127,2025-07-14,126.55
O40589377,S768189659,2025-06-30,52.1
O34032157,S126287580,2025-05-27,107.19
O68313419,S756711859,2025-06-28,135.31
O11130794,S681107532,2025-06-18,77.04
O23106326,S335004158,2025-06-29,58.68
O53635458,S494004319,2025-07-11,112.68
O84823239,S603532438,2025-07-22,148.67
O16147190,S266399603,2025-08-02,125.99
O5501804,S165583850,2025-07-29,100.84
O48131508,S435422791,2025-07-14,44.35
O17666538,S972170656,2025-07-22,81.46
O58153797,S814845687,2025-07-15,128.57
O41713416,S627823188,2025-08-06,91.51
O95942712,S85985273,2025-07-25,118.67
O25152604,S796507360,2025-05-28,143.1
O25549808,S212899877,2025-05-31,125.12
O61677807,S749140692,2025-07-05,112.82
O31102765,S692327438,2025-06-24,103.05
O69241191,S289904123,2025-08-01,72.73
O96697496,S558619866,2025-07-05,113.21
O45336352,S633733181,2025-05-26,115.69
O21378616,S137669825,2025-05-31,91.13
O98803784,S243730864,2025-06-28,86.62
O27488719,S626451486,2025-07-01,68.61
O12449540,S156887190,2025-05-29,104.45
O11591777,S793287882,2025-05-31,92.08
O76274079,S97064017,2025-06-30,110.29
O76430302,S147203842,2025-06-15,98.97
O38446072,S669011602,2025-08-13,106.63
O30348867,S388848991,2025-08-13,87.08
O18695319,S229246427,2025-07-10,118.69
O6968749,S135494614,2025-08-01,95.71
O49489833,S869705436,2025-08-06,59.41
O89955797,S991662966,2025-06-30,138.45
O67441012,S306197407,2025-05-26,78.44
O73621864,S216963295,2025-08-09,92.83
O38226264,S674749278,2025-05-23,82.28
O75242074,S839927142,2025-06-06,96.49
O90021940,S986531488,2025-08-09,91.87
O97108929,S523764295,2025-08-06,109.65
O88589915,S503594033,2025-06-10,103.17
O50905367,S79313888,2025-07-28,66.53
O92648365,S616648718,2025-06-15,82.76
O99582186,S328520891,2025-06-25,93.6
O11845911,S431580146,2025-08-17,108.04
O7832527,S534167108,2025-08-08,99.05
O33377301,S130303137,2025-06-01,107.21
O36185779,S695556908,2025-05-31,18.69
O1285369,S708999416,2025-05-24,93.35
O68417400,S105677905,2025-06-07,92.82
O13912267,S427894169,2025-06-21,49.5
O87278695,S462845030,2025-07-13,53.29
O68002099,S186837457,2025-07-22,62.8
O20692330,S746209737,2025-07-16,111.07
O99344831,S825001966,2025-05-31,84.22
O64646168,S431678524,2025-07-07,145.49
O19071629,S315297836,2025-07-30,86.39
O25570853,S564854393,2025-05-25,57.81
O48487785,S402085923,2025-08-06,70.78
O55604713,S223935035,2025-06-28,94.35
O58899151,S299343108,2025-07-04,73.65
O94348908,S57817385,2025-08-15,48.76
O57010841,S550136290,2025-07-28,112.83
O69790624,S253208845,2025-08-04,59.54
O61833504,S736873449,2025-07-06,82.52
O79181731,S902138324,2025-08-02,126.53
O45080376,S98347324,2025-07-09,87.73
O4950374,S681734156,2025-07-30,94.28
O52982657,S260001536,2025-07-19,95.38
O57560764,S725912986,2025-08-23,94.37
O32430452,S79456409,2025-07-19,146.81
O24483183,S880784783,2025-07-25,83.32
O77727060,S661610872,2025-07-12,121.25
O8664245,S170039462,2025-07-15,81.36
O42498968,S286528583,2025-07-16,111.08
O43106882,S925423227,2025-06-09,109.62
O39716154,S124273811,2025-06-12,79.28
O49647092,S355147294,2025-06-05,77.66
O96492598,S566998345,2025-07-18,43.42
O37453190,S814687216,2025-06-21,61.52
O27861762,S831567253,2025-06-19,116.98
O95301149,S809451997,2025-05-21,96.83
O72027528,S699906546,2025-05-30,98.46
O95602449,S180616731,2025-07-26,110.08
O38819704,S942221010,2025-07-02,99.57
O76466668,S602701939,2025-07-10,49.36
O99939608,S906087587,2025-06-04,95.83
O62062011,S856105493,2025-05-28,79.23
O80507279,S47835233,2025-08-03,98.36
