session_id,user_id,ts_iso,utm_source,device,pages
S142168655,U100027,2025-07-30T11:00:00,email,desktop,5
S563830839,U100027,2025-08-01T18:00:00,search,mobile,3
S185976692,U100028,2025-07-10T13:00:00,search,mobile,2
S130960558,U100029,2025-07-21T18:00:00,search,desktop,4
S243471293,U100029,2025-07-25T06:00:00,search,desktop,5
S705301131,U100030,2025-06-25T23:00:00,search,mobile,6
S288041431,U100030,2025-07-04T12:00:00,social,tablet,2
S28317561,U100031,2025-07-15T13:00:00,search,mobile,1
S850307397,U100031,2025-07-24T06:00:00,search,desktop,3
S93785479,U100031,2025-08-02T12:00:00,search,mobile,4
S684266305,U100032,2025-07-06T23:00:00,social,mobile,2
S40125077,U100033,2025-05-18T11:00:00,search,desktop,1
S654031215,U100033,2025-05-26T09:00:00,search,mobile,8
S594570205,U100034,2025-07-09T03:00:00,direct,mobile,4
S504281338,U100034,2025-07-11T04:00:00,social,mobile,4
S406499661,U100034,2025-07-12T09:00:00,search,mobile,3
S234687008,U100035,2025-06-19T02:00:00,direct,mobile,5
S86032211,U100035,2025-06-21T22:00:00,display,mobile,1
S733107082,U100036,2025-07-24T17:00:00,email,mobile,4
S36039431,U100036,2025-07-31T20:00:00,search,desktop,4
S230871530,U100037,2025-07-18T06:00:00,search,mobile,1
S295011227,U100038,2025-05-26T13:00:00,display,desktop,3
S351654606,U100039,2025-06-04T21:00:00,search,tablet,3
S774668126,U100039,2025-06-11T23:00:00,search,mobile,2
S466598927,U100040,2025-07-14T01:00:00,social,mobile,1
S587138397,U100041,2025-07-06T19:00:00,social,mobile,3
S575103422,U100041,2025-07-10T06:00:00,search,desktop,4
S606697150,U100042,2025-05-23T22:00:00,direct,desktop,3
S4855910,U100042,2025-06-01T19:00:00,social,mobile,1
S116011776,U100042,2025-06-05T23:00:00,social,mobile,3
S498681002,U100043,2025-07-09T14:00:00,social,mobile,6
S267216755,U100044,2025-06-23T23:00:00,email,mobile,5
S739857460,U100044,2025-06-26T05:00:00,direct,mobile,4
S424796995,U100045,2025-05-24T21:00:00,email,desktop,1
S355842929,U100045,2025-05-25T12:00:00,display,mobile,2
S767824782,U100046,2025-07-05T05:00:00,search,desktop,4
S902809279,U100047,2025-06-05T13:00:00,social,mobile,3
S567705313,U100047,2025-06-08T14:00:00,search,desktop,3
S156386542,U100048,2025-07-18T17:00:00,search,desktop,4
S381688249,U100048,2025-07-23T01:00:00,search,mobile,1
S791421186,U100048,2025-07-31T08:00:00,search,mobile,5
S886046723,U100049,2025-07-14T18:00:00,social,mobile,3
S194476149,U100050,2025-07-23T05:00:00,social,mobile,6
S701526984,U100050,2025-07-27T18:00:00,search,mobile,5
S623379664,U100051,2025-08-11T00:00:00,direct,mobile,4
S358415408,U100052,2025-07-19T10:00:00,display,mobile,7
S778092946,U100053,2025-06-04T12:00:00,search,desktop,1
S33002715,U100053,2025-06-07T01:00:00,social,mobile,2
S227354060,U100054,2025-07-31T08:00:00,email,mobile,3
S82255445,U100054,2025-08-09T14:00:00,direct,mobile,5
S643643765,U100055,2025-07-12T21:00:00,social,desktop,7
S157063891,U100056,2025-06-06T13:00:00,email,mobile,2
S256693793,U100056,2025-06-11T06:00:00,social,mobile,2
S952747459,U100057,2025-07-12T15:00:00,search,mobile,5
S317588856,U100057,2025-07-18T11:00:00,social,mobile,4
S725218471,U100057,2025-07-23T23:00:00,social,mobile,6
S261629969,U100058,2025-07-21T07:00:00,search,mobile,4
S454448105,U100059,2025-07-12T16:00:00,social,desktop,7
S700773142,U100060,2025-08-02T05:00:00,social,mobile,3
S457118038,U100061,2025-08-12T23:00:00,search,mobile,6
S730647567,U100062,2025-05-30T17:00:00,social,desktop,3
S177487484,U100062,2025-06-04T01:00:00,direct,mobile,1
S971155870,U100063,2025-08-11T03:00:00,search,mobile,3
S4241062,U100063,2025-08-18T02:00:00,search,mobile,5
S55588466,U100064,2025-06-10T04:00:00,search,desktop,7
S417643908,U100064,2025-06-16T12:00:00,social,mobile,1
S826661269,U100065,2025-08-02T11:00:00,email,mobile,5
S406958404,U100065,2025-08-03T12:00:00,display,mobile,1
S7490251,U100065,2025-08-12T01:00:00,direct,mobile,4
S439227107,U100066,2025-08-04T23:00:00,display,tablet,2
S629685163,U100066,2025-08-10T00:00:00,social,desktop,7
S280195441,U100066,2025-08-12T15:00:00,search,desktop,6
S280895325,U100067,2025-07-27T11:00:00,display,tablet,4
S213242165,U100067,2025-08-04T03:00:00,search,mobile,3
S606456177,U100067,2025-08-09T06:00:00,search,tablet,2
S458754733,U100068,2025-08-03T01:00:00,social,mobile,1
S951479428,U100069,2025-05-28T14:00:00,direct,desktop,5
S679614215,U100069,2025-06-02T01:00:00,direct,mobile,3
S963931478,U100069,2025-06-03T13:00:00,direct,mobile,3
S3900871,U100070,2025-06-12T00:00:00,display,mobile,4
S84314450,U100070,2025-06-14T10:00:00,social,desktop,6
S609508631,U100071,2025-07-26T10:00:00,social,desktop,4
S2588109,U100072,2025-08-10T15:00:00,search,mobile,1
S456315743,U100073,2025-06-10T20:00:00,direct,desktop,4
S188079736,U100074,2025-07-30T08:00:00,email,desktop,5
S508734689,U100075,2025-07-09T12:00:00,email,mobile,2
S883884832,U100075,2025-07-18T01:00:00,display,mobile,4
S21121092,U100076,2025-07-27T13:00:00,email,mobile,1
S569512314,U100076,2025-08-01T23:00:00,display,desktop,2
S812339133,U100077,2025-06-08T08:00:00,social,mobile,1
S12863373,U100078,2025-05-20T02:00:00,display,mobile,1
S871517511,U100078,2025-05-27T21:00:00,direct,desktop,5
S414618917,U100078,2025-06-02T09:00:00,social,mobile,1
S628094059,U100079,2025-05-28T21:00:00,search,mobile,5
S529009261,U100079,2025-06-01T17:00:00,display,mobile,1
S732620069,U100079,2025-06-03T08:00:00,direct,mobile,3
S13607265,U100080,2025-06-12T21:00:00,direct,mobile,3
S664959619,U100080,2025-06-14T06:00:00,email,mobile,5
S184389976,U100081,2025-06-19T04:00:00,social,desktop,1
S772901832,U100081,2025-06-22T15:00:00,search,mobile,7
S210082827,U100081,2025-06-28T21:00:00,display,desktop,8
S611871684,U100082,2025-06-16T12:00:00,display,mobile,5
S510220767,U100082,2025-06-25T02:00:00,search,mobile,6
S52945432,U100083,2025-07-25T22:00:00,email,mobile,5
S754160235,U100083,2025-08-03T07:00:00,search,desktop,4
S495733182,U100083,2025-08-08T00:00:00,social,mobile,3
S897473544,U100084,2025-07-25T00:00:00,search,desktop,2
S117884172,U100084,2025-08-01T04:00:00,search,mobile,7
S188822319,U100084,2025-08-06T20:00:00,search,mobile,2
S618147166,U100085,2025-06-11T14:00:00,display,mobile,6
S149914057,U100085,2025-06-13T23:00:00,search,desktop,5
S239719068,U100086,2025-06-11T06:00:00,search,mobile,3
S738668176,U100087,2025-06-04T09:00:00,search,mobile,3
S899763200,U100087,2025-06-12T06:00:00,search,desktop,6
S131500241,U100087,2025-06-20T22:00:00,social,desktop,6
S979183649,U100088,2025-07-02T03:00:00,direct,mobile,7
S22267564,U100088,2025-07-07T05:00:00,display,mobile,1
S508663687,U100089,2025-06-27T05:00:00,search,desktop,3
S721470140,U100089,2025-07-03T01:00:00,social,mobile,2
S176492895,U100090,2025-06-02T04:00:00,social,desktop,4
S744399989,U100090,2025-06-09T11:00:00,direct,mobile,1
S637780935,U100090,2025-06-14T02:00:00,social,desktop,4
S652933615,U100091,2025-08-10T14:00:00,search,mobile,9
S703591332,U100092,2025-08-15T09:00:00,social,desktop,3
S343307025,U100092,2025-08-24T08:00:00,search,desktop,8
S503226543,U100093,2025-06-29T10:00:00,search,mobile,2
S672515841,U100094,2025-06-14T05:00:00,social,mobile,5
S991827690,U100095,2025-08-04T23:00:00,search,mobile,7
S803280274,U100095,2025-08-07T03:00:00,social,mobile,1
S285296719,U100096,2025-05-20T17:00:00,search,mobile,5
S169899879,U100097,2025-06-30T03:00:00,display,mobile,2
S739215159,U100097,2025-07-04T22:00:00,search,mobile,5
S860709890,U100097,2025-07-12T06:00:00,search,mobile,5
S668587569,U100098,2025-07-10T14:00:00,direct,mobile,4
S842931939,U100099,2025-06-24T06:00:00,direct,mobile,3
S2909772,U100100,2025-06-07T17:00:00,social,mobile,2
S514894481,U100100,2025-06-14T22:00:00,social,mobile,3
S945910842,U100101,2025-08-04T13:00:00,search,mobile,4
S905168954,U100102,2025-06-12T20:00:00,email,desktop,6
S887882214,U100103,2025-07-19T09:00:00,display,desktop,3
S268397559,U100104,2025-06-20T23:00:00,social,mobile,4
S788751829,U100104,2025-06-28T00:00:00,social,mobile,3
S214950390,U100104,2025-07-06T23:00:00,direct,mobile,4
S694949638,U100105,2025-07-22T18:00:00,search,tablet,3
S5330215,U100105,2025-07-25T15:00:00,social,mobile,4
S391077880,U100106,2025-06-11T20:00:00,social,tablet,5
S376906448,U100106,2025-06-19T07:00:00,direct,desktop,1
S380083086,U100106,2025-06-25T12:00:00,social,desktop,3
S252690851,U100107,2025-06-17T00:00:00,search,desktop,5
S334120296,U100108,2025-06-01T10:00:00,display,mobile,2
S338280160,U100109,2025-07-12T23:00:00,social,mobile,4
S235319057,U100109,2025-07-13T15:00:00,display,desktop,3
S453267347,U100110,2025-06-17T01:00:00,search,mobile,6
S541295711,U100111,2025-06-24T02:00:00,search,mobile,2
S878772427,U100111,2025-06-29T18:00:00,email,mobile,4
S232171061,U100112,2025-08-06T00:00:00,search,desktop,7
S155924495,U100112,2025-08-12T02:00:00,social,mobile,4
S733222145,U100113,2025-08-12T16:00:00,direct,mobile,6
S538660995,U100114,2025-06-11T00:00:00,email,mobile,4
S449632590,U100115,2025-07-17T07:00:00,direct,mobile,6
S660208816,U100115,2025-07-24T12:00:00,email,desktop,4
S23350205,U100115,2025-07-27T20:00:00,search,desktop,5
S879434962,U100116,2025-08-15T16:00:00,social,mobile,2
S116601327,U100117,2025-08-07T15:00:00,email,mobile,4
S936029471,U100118,2025-06-06T12:00:00,search,mobile,2
S801335262,U100118,2025-06-11T20:00:00,direct,mobile,8
S193065512,U100119,2025-07-02T08:00:00,email,desktop,1
S270104736,U100119,2025-07-05T03:00:00,display,tablet,2
S259031028,U100120,2025-06-21T18:00:00,social,mobile,4
S76969030,U100120,2025-06-30T03:00:00,search,mobile,4
S755067802,U100120,2025-07-07T18:00:00,search,desktop,5
S117560710,U100121,2025-07-07T11:00:00,email,desktop,2
S639582236,U100122,2025-06-21T10:00:00,direct,desktop,1
S675147562,U100123,2025-06-29T13:00:00,search,mobile,2
S93431616,U100124,2025-05-26T04:00:00,display,mobile,8
S907094059,U100125,2025-05-24T10:00:00,email,mobile,1
S950309856,U100125,2025-05-25T14:00:00,search,desktop,1
S186444912,U100126,2025-08-12T08:00:00,email,desktop,2
S579377798,U100127,2025-06-18T20:00:00,email,mobile,2
S701027253,U100128,2025-08-02T21:00:00,search,mobile,4
S581091556,U100129,2025-07-16T14:00:00,social,mobile,1
S900732884,U100129,2025-07-24T11:00:00,search,mobile,6
S628852259,U100130,2025-08-12T18:00:00,social,mobile,3
S242115943,U100131,2025-05-28T03:00:00,search,desktop,3
S815428424,U100132,2025-08-14T05:00:00,social,desktop,1
S985356285,U100132,2025-08-17T18:00:00,direct,mobile,3
S523780223,U100132,2025-08-25T23:00:00,display,mobile,4
S610192553,U100133,2025-07-02T05:00:00,direct,desktop,4
S300323370,U100133,2025-07-06T11:00:00,email,mobile,1
S728459751,U100134,2025-08-12T18:00:00,social,desktop,3
S876666446,U100134,2025-08-15T17:00:00,search,desktop,2
S704906732,U100135,2025-07-06T11:00:00,email,tablet,4
S499094646,U100135,2025-07-14T20:00:00,email,mobile,4
S822609979,U100135,2025-07-16T15:00:00,direct,mobile,9
S339707139,U100136,2025-06-04T19:00:00,search,desktop,4
S617176993,U100136,2025-06-13T10:00:00,social,desktop,5
S191745045,U100137,2025-06-04T08:00:00,social,mobile,1
S447617919,U100137,2025-06-08T10:00:00,display,mobile,3
S331526018,U100138,2025-05-28T14:00:00,search,mobile,1
S36115695,U100138,2025-06-05T17:00:00,search,mobile,1
S954522458,U100139,2025-07-31T04:00:00,search,mobile,5
S883231476,U100139,2025-08-05T18:00:00,direct,mobile,5
S199257886,U100140,2025-06-25T05:00:00,search,mobile,5
S691308698,U100140,2025-07-02T03:00:00,social,mobile,1
S427068577,U100140,2025-07-04T12:00:00,email,desktop,6
S171470059,U100141,2025-06-05T17:00:00,search,mobile,4
S4497080,U100142,2025-07-28T14:00:00,social,desktop,1
S610058682,U100143,2025-08-13T03:00:00,display,mobile,2
S374991467,U100143,2025-08-18T08:00:00,direct,desktop,1
S69785662,U100144,2025-08-06T16:00:00,social,desktop,4
S374459547,U100144,2025-08-11T13:00:00,search,desktop,3
S297684182,U100144,2025-08-14T10:00:00,search,tablet,2
S282941305,U100145,2025-06-16T08:00:00,search,desktop,1
S851775688,U100145,2025-06-23T15:00:00,direct,mobile,3
S605100689,U100146,2025-07-21T12:00:00,email,mobile,2
S762495872,U100147,2025-07-01T14:00:00,direct,mobile,3
S624289113,U100147,2025-07-02T04:00:00,direct,desktop,5
S238128915,U100147,2025-07-06T03:00:00,search,tablet,5
S14974649,U100148,2025-07-06T10:00:00,social,mobile,2
S206484049,U100149,2025-08-10T21:00:00,direct,desktop,2
S751585068,U100149,2025-08-16T01:00:00,search,mobile,4
S986940901,U100149,2025-08-17T05:00:00,search,mobile,3
S331493446,U100150,2025-08-07T10:00:00,search,desktop,4
S94321738,U100150,2025-08-13T23:00:00,search,mobile,1
S582413335,U100150,2025-08-18T08:00:00,search,mobile,1
S249800082,U100151,2025-08-02T10:00:00,display,mobile,2
S858619844,U100152,2025-06-03T05:00:00,social,mobile,1
S668331145,U100153,2025-08-12T15:00:00,direct,mobile,4
S1503013,U100153,2025-08-13T09:00:00,social,desktop,8
S421306206,U100154,2025-07-24T15:00:00,search,mobile,3
S305475059,U100154,2025-07-27T05:00:00,search,mobile,5
S27067471,U100155,2025-07-14T12:00:00,search,mobile,6
S106329842,U100155,2025-07-22T00:00:00,search,mobile,1
S180588409,U100156,2025-06-25T03:00:00,direct,desktop,1
S186106819,U100156,2025-06-28T08:00:00,search,tablet,6
S799303120,U100157,2025-06-24T06:00:00,display,mobile,2
S21067967,U100157,2025-06-25T11:00:00,search,mobile,3
S440872054,U100158,2025-05-28T03:00:00,social,mobile,2
S884933892,U100159,2025-06-27T16:00:00,social,mobile,6
S214452025,U100160,2025-07-13T13:00:00,display,desktop,5
S367138932,U100160,2025-07-16T08:00:00,search,mobile,2
S194538023,U100160,2025-07-20T00:00:00,email,desktop,2
S736503430,U100161,2025-07-29T12:00:00,direct,desktop,2
S415387018,U100161,2025-07-31T23:00:00,search,desktop,5
S770570192,U100161,2025-08-04T19:00:00,social,desktop,2
S412027722,U100162,2025-05-27T12:00:00,search,mobile,7
S351091709,U100163,2025-07-18T11:00:00,social,mobile,3
S142385323,U100163,2025-07-26T15:00:00,search,desktop,6
S147892262,U100163,2025-07-30T21:00:00,search,mobile,2
S106263523,U100164,2025-08-09T13:00:00,social,desktop,4
S20583397,U100164,2025-08-16T10:00:00,email,mobile,1
S372618206,U100165,2025-05-27T23:00:00,search,mobile,5
S293130124,U100165,2025-05-30T12:00:00,search,mobile,6
S831815233,U100166,2025-07-30T11:00:00,display,mobile,3
S800464755,U100166,2025-08-03T10:00:00,social,desktop,1
S474460412,U100166,2025-08-09T13:00:00,display,mobile,7
S374430743,U100167,2025-07-08T20:00:00,search,desktop,5
S897093564,U100167,2025-07-10T04:00:00,display,mobile,3
S750228304,U100167,2025-07-16T14:00:00,search,desktop,6
S795993019,U100168,2025-07-11T04:00:00,search,mobile,6
S381011011,U100169,2025-07-27T23:00:00,display,mobile,1
S530848760,U100170,2025-07-16T15:00:00,social,desktop,1
S480501548,U100170,2025-07-23T04:00:00,display,tablet,2
S718204633,U100170,2025-07-31T06:00:00,social,mobile,4
S356210712,U100171,2025-06-13T20:00:00,social,mobile,3
S873472794,U100171,2025-06-19T12:00:00,search,mobile,1
S576766045,U100171,2025-06-28T21:00:00,social,mobile,6
S739320978,U100172,2025-07-14T12:00:00,search,desktop,6
S978519445,U100172,2025-07-17T16:00:00,social,mobile,7
S245651744,U100172,2025-07-24T20:00:00,display,mobile,5
S105005841,U100173,2025-07-27T08:00:00,display,desktop,7
S791934136,U100174,2025-08-10T12:00:00,social,mobile,5
S100880396,U100174,2025-08-15T17:00:00,search,desktop,3
S949890123,U100174,2025-08-19T10:00:00,social,mobile,1
S336194874,U100175,2025-06-18T19:00:00,search,mobile,5
S228951399,U100176,2025-07-19T09:00:00,display,desktop,4
S316322343,U100177,2025-07-07T05:00:00,search,mobile,5
S260141703,U100177,2025-07-10T21:00:00,social,mobile,1
S559471568,U100178,2025-07-30T05:00:00,search,desktop,3
S847522702,U100178,2025-08-01T13:00:00,social,mobile,2
S821143979,U100179,2025-05-30T08:00:00,search,mobile,6
S621423596,U100179,2025-06-08T07:00:00,search,mobile,5
S8626572,U100180,2025-08-15T03:00:00,search,desktop,4
S496105456,U100181,2025-06-29T10:00:00,search,mobile,4
S831612837,U100181,2025-07-03T22:00:00,search,mobile,3
S165235376,U100181,2025-07-10T07:00:00,search,desktop,3
S195280747,U100182,2025-08-10T01:00:00,search,mobile,1
S67618438,U100182,2025-08-14T20:00:00,search,mobile,4
S367684391,U100182,2025-08-18T13:00:00,search,mobile,2
S904700737,U100183,2025-06-06T05:00:00,display,mobile,3
S342455087,U100184,2025-05-18T06:00:00,search,mobile,4
S628527383,U100184,2025-05-21T00:00:00,social,desktop,4
S859839797,U100185,2025-05-22T18:00:00,social,mobile,3
S520065514,U100185,2025-05-31T07:00:00,display,mobile,3
S419577116,U100186,2025-07-07T13:00:00,search,mobile,3
S868114703,U100186,2025-07-11T18:00:00,social,mobile,4
S315175626,U100186,2025-07-19T19:00:00,search,desktop,3
S184922431,U100187,2025-07-31T14:00:00,search,desktop,3
S302865167,U100187,2025-08-07T22:00:00,email,mobile,5
S660045916,U100188,2025-07-05T16:00:00,display,mobile,3
S544908110,U100188,2025-07-11T00:00:00,social,mobile,2
S201175290,U100189,2025-07-22T20:00:00,display,mobile,1
S609310323,U100190,2025-06-13T10:00:00,email,mobile,3
S613936344,U100190,2025-06-22T22:00:00,search,desktop,4
S927004704,U100190,2025-06-30T03:00:00,direct,mobile,5
S936302420,U100191,2025-07-16T09:00:00,display,mobile,4
S36797322,U100191,2025-07-20T07:00:00,search,desktop,5
S994385932,U100192,2025-08-05T19:00:00,social,tablet,4
S235588281,U100192,2025-08-06T21:00:00,direct,desktop,3
S424022344,U100192,2025-08-07T18:00:00,email,desktop,4
S166331222,U100193,2025-08-12T21:00:00,direct,tablet,8
S210351824,U100193,2025-08-13T21:00:00,search,desktop,1
S45351182,U100193,2025-08-17T19:00:00,display,mobile,1
S69085573,U100194,2025-08-10T19:00:00,search,desktop,3
S542067503,U100195,2025-06-08T02:00:00,email,mobile,3
S77594387,U100195,2025-06-17T22:00:00,direct,mobile,5
S595734659,U100196,2025-07-16T13:00:00,search,desktop,7
S275454242,U100196,2025-07-25T10:00:00,search,mobile,1
S354735488,U100197,2025-06-14T04:00:00,social,mobile,1
S918415146,U100197,2025-06-20T03:00:00,email,desktop,1
S391321888,U100197,2025-06-21T05:00:00,direct,mobile,7
S768526702,U100198,2025-08-09T01:00:00,social,mobile,4
S376203626,U100198,2025-08-18T10:00:00,email,mobile,5
S161033623,U100198,2025-08-27T11:00:00,email,desktop,1
S102294046,U100199,2025-08-05T10:00:00,search,mobile,6
S535314801,U100200,2025-08-01T22:00:00,direct,mobile,1
S717176351,U100200,2025-08-03T07:00:00,search,desktop,5
S601618047,U100200,2025-08-12T08:00:00,direct,desktop,1
S405629308,U100201,2025-08-04T17:00:00,direct,desktop,4
S715752931,U100202,2025-07-06T07:00:00,search,mobile,1
S168142522,U100203,2025-07-14T19:00:00,search,mobile,1
S61531680,U100203,2025-07-19T12:00:00,direct,mobile,2
S617257634,U100204,2025-05-25T16:00:00,direct,mobile,5
S236304454,U100205,2025-06-28T19:00:00,social,mobile,2
S253546971,U100206,2025-07-25T17:00:00,search,mobile,1
S145378533,U100206,2025-07-30T15:00:00,search,desktop,3
S245958145,U100206,2025-08-08T01:00:00,search,desktop,2
S113940394,U100207,2025-08-08T15:00:00,social,tablet,2
S893592314,U100207,2025-08-12T16:00:00,search,desktop,2
S627478203,U100207,2025-08-19T12:00:00,direct,desktop,3
S367672757,U100208,2025-07-10T21:00:00,social,desktop,2
S634877800,U100208,2025-07-16T06:00:00,search,mobile,1
S573467158,U100208,2025-07-17T06:00:00,search,mobile,5
S115445390,U100209,2025-06-07T11:00:00,display,desktop,3
S248228589,U100209,2025-06-09T13:00:00,search,desktop,4
S403945091,U100209,2025-06-15T00:00:00,search,desktop,6
S379790021,U100210,2025-08-06T16:00:00,direct,desktop,5
S290585595,U100210,2025-08-13T22:00:00,search,mobile,7
S55781121,U100210,2025-08-17T17:00:00,social,mobile,1
S609691788,U100211,2025-06-24T02:00:00,search,desktop,5
S317787798,U100212,2025-05-20T04:00:00,search,desktop,7
S795914432,U100212,2025-05-27T14:00:00,email,mobile,2
S840481644,U100212,2025-05-30T15:00:00,social,mobile,4
S476964975,U100213,2025-06-13T05:00:00,direct,mobile,2
S23660613,U100213,2025-06-14T06:00:00,direct,mobile,2
S343220256,U100213,2025-06-15T22:00:00,social,mobile,5
S530526393,U100214,2025-08-02T05:00:00,direct,desktop,5
S448282442,U100214,2025-08-11T06:00:00,social,mobile,5
S291246393,U100214,2025-08-20T14:00:00,direct,mobile,2
S50181403,U100215,2025-06-23T17:00:00,display,desktop,5
S892389853,U100215,2025-07-01T12:00:00,social,mobile,3
S113582165,U100216,2025-06-08T03:00:00,email,mobile,4
S484895804,U100216,2025-06-13T23:00:00,search,desktop,5
S330693882,U100217,2025-07-06T18:00:00,direct,mobile,2
S503328548,U100218,2025-07-21T01:00:00,social,mobile,2
S823324269,U100219,2025-05-31T18:00:00,direct,desktop,3
S415134371,U100219,2025-06-07T11:00:00,search,mobile,6
S417191002,U100219,2025-06-16T11:00:00,search,mobile,3
S465431048,U100220,2025-08-15T08:00:00,social,mobile,2
S748800083,U100221,2025-08-14T20:00:00,search,desktop,4
S973597620,U100221,2025-08-21T00:00:00,social,mobile,4
S111951090,U100222,2025-06-05T17:00:00,email,desktop,1
S850274911,U100222,2025-06-09T15:00:00,search,desktop,7
S101438501,U100223,2025-07-28T19:00:00,email,mobile,6
S411325321,U100223,2025-08-01T09:00:00,email,desktop,2
S551983566,U100223,2025-08-02T07:00:00,social,desktop,1
S122706713,U100224,2025-07-10T00:00:00,search,tablet,7
S648667999,U100224,2025-07-13T06:00:00,social,mobile,4
S594645924,U100224,2025-07-15T22:00:00,social,mobile,3
S62761552,U100225,2025-06-25T21:00:00,display,mobile,3
S592138058,U100225,2025-07-04T09:00:00,search,mobile,2
S108360865,U100226,2025-07-26T17:00:00,social,mobile,2
S299024910,U100226,2025-08-01T09:00:00,social,mobile,10
S441922382,U100227,2025-05-25T17:00:00,search,mobile,7
S453264315,U100228,2025-05-21T04:00:00,search,mobile,3
S864319941,U100228,2025-05-26T06:00:00,social,mobile,4
S730024369,U100228,2025-05-28T21:00:00,search,mobile,4
S643774486,U100229,2025-05-24T00:00:00,direct,mobile,4
S454185406,U100230,2025-07-23T16:00:00,search,desktop,5
S566707642,U100230,2025-07-29T01:00:00,direct,desktop,3
S141178053,U100230,2025-08-07T04:00:00,social,mobile,5
S754052789,U100231,2025-06-17T03:00:00,direct,desktop,1
S363122194,U100231,2025-06-24T20:00:00,search,mobile,6
S880629999,U100231,2025-06-25T16:00:00,display,mobile,5
S329126563,U100232,2025-07-18T04:00:00,search,desktop,6
S306987067,U100233,2025-07-12T17:00:00,email,mobile,7
S488033632,U100233,2025-07-17T06:00:00,social,desktop,4
S920019144,U100234,2025-05-24T01:00:00,direct,mobile,4
S288919884,U100235,2025-08-03T21:00:00,email,mobile,6
S480992095,U100236,2025-05-26T16:00:00,search,mobile,5
S494744492,U100236,2025-06-02T20:00:00,social,mobile,2
S357073350,U100237,2025-06-20T15:00:00,display,desktop,4
S539533332,U100238,2025-08-12T13:00:00,social,desktop,7
S533750297,U100238,2025-08-21T06:00:00,email,mobile,1
S994925755,U100239,2025-07-28T18:00:00,search,mobile,1
S121288272,U100240,2025-06-11T06:00:00,search,mobile,3
S236764780,U100241,2025-07-15T21:00:00,search,desktop,3
