ticket_id,created_at,first_response_at,resolved_at,priority,channel,queue,aht_min
27,2024-04-01 01:16:00,2024-04-01 01:40:00,2024-04-01 01:50:00,P3,Chat,Billing,10
28,2024-04-01 01:16:00,2024-04-01 02:15:00,2024-04-01 02:46:00,P3,Email,Billing,31
29,2024-04-01 01:19:00,2024-04-01 03:12:00,2024-04-01 03:49:00,P2,Email,Billing,37
30,2024-04-01 01:24:00,2024-04-01 01:40:00,2024-04-01 01:53:00,P2,Web,Tech,13
31,2024-04-01 01:26:00,2024-04-01 01:50:00,2024-04-01 02:07:00,P2,Web,General,17
32,2024-04-01 01:27:00,2024-04-01 02:10:00,2024-04-01 03:02:00,P3,Web,Billing,52
33,2024-04-01 01:31:00,2024-04-01 02:39:00,2024-04-01 07:37:00,P2,Email,Tech,298
34,2024-04-01 01:32:00,2024-04-01 02:25:00,2024-04-01 02:33:00,P3,Web,General,8
35,2024-04-01 01:32:00,2024-04-01 03:10:00,2024-04-01 03:34:00,P3,Email,Tech,24
36,2024-04-01 01:34:00,2024-04-01 03:28:00,2024-04-01 03:41:00,P2,Email,Billing,13
37,2024-04-01 01:50:00,2024-04-01 03:02:00,2024-04-01 03:28:00,P2,Web,General,26
38,2024-04-01 01:59:00,2024-04-01 03:31:00,2024-04-01 04:33:00,P3,Email,Tech,62
39,2024-04-01 02:04:00,2024-04-01 02:42:00,2024-04-01 03:05:00,P2,Web,General,23
40,2024-04-01 02:08:00,2024-04-01 02:57:00,2024-04-01 03:11:00,P2,Web,Billing,14
41,2024-04-01 02:12:00,2024-04-01 02:58:00,2024-04-01 03:09:00,P2,Web,General,11
42,2024-04-01 02:13:00,2024-04-01 03:49:00,2024-04-01 04:12:00,P2,Email,General,23
43,2024-04-01 02:17:00,2024-04-01 04:36:00,2024-04-01 05:37:00,P3,Email,Tech,61
44,2024-04-01 02:19:00,2024-04-01 03:27:00,2024-04-01 05:24:00,P2,Web,Tech,117
45,2024-04-01 02:20:00,2024-04-01 03:19:00,2024-04-01 03:42:00,P2,Email,General,23
46,2024-04-01 02:21:00,2024-04-01 02:50:00,2024-04-01 03:45:00,P3,Email,Tech,55
47,2024-04-01 02:23:00,2024-04-01 04:56:00,2024-04-01 05:17:00,P2,Email,General,21
48,2024-04-01 02:26:00,2024-04-01 03:45:00,2024-04-01 04:30:00,P3,Email,Tech,45
49,2024-04-01 02:33:00,2024-04-01 03:33:00,2024-04-01 03:45:00,P3,Email,Billing,12
50,2024-04-01 02:33:00,2024-04-01 03:55:00,2024-04-01 04:18:00,P2,Email,Billing,23
51,2024-04-01 02:39:00,2024-04-01 03:10:00,2024-04-01 04:11:00,P2,Web,Tech,61
52,2024-04-01 02:45:00,2024-04-01 04:16:00,2024-04-01 05:05:00,P1,Email,Tech,49
53,2024-04-01 02:51:00,2024-04-01 03:22:00,2024-04-01 03:42:00,P1,Web,General,20
54,2024-04-01 02:53:00,2024-04-01 03:40:00,2024-04-01 04:14:00,P2,Web,Tech,34
55,2024-04-01 02:56:00,2024-04-01 03:09:00,2024-04-01 03:29:00,P2,Chat,Billing,20
56,2024-04-01 02:57:00,2024-04-01 04:06:00,2024-04-01 04:21:00,P2,Email,Tech,15
57,2024-04-01 03:03:00,2024-04-01 04:36:00,2024-04-01 05:18:00,P3,Web,Tech,42
58,2024-04-01 03:09:00,2024-04-01 03:39:00,2024-04-01 04:50:00,P2,Email,Tech,71
59,2024-04-01 03:10:00,2024-04-01 03:51:00,2024-04-01 04:30:00,P2,Web,Billing,39
60,2024-04-01 03:10:00,2024-04-01 03:47:00,2024-04-01 04:13:00,P2,Web,Billing,26
61,2024-04-01 03:16:00,2024-04-01 03:40:00,2024-04-01 03:53:00,P2,Web,Billing,13
62,2024-04-01 03:17:00,2024-04-01 03:58:00,2024-04-01 04:21:00,P2,Email,Tech,23
63,2024-04-01 03:20:00,2024-04-01 04:32:00,2024-04-01 04:48:00,P2,Email,Tech,16
64,2024-04-01 03:22:00,2024-04-01 03:49:00,2024-04-01 04:37:00,P3,Web,Tech,48
65,2024-04-01 03:31:00,2024-04-01 03:51:00,2024-04-01 04:12:00,P3,Web,Tech,21
66,2024-04-01 03:39:00,2024-04-01 04:47:00,2024-04-01 06:00:00,P2,Email,Tech,73
67,2024-04-01 03:42:00,2024-04-01 05:15:00,2024-04-01 05:37:00,P3,Email,General,22
68,2024-04-01 03:43:00,2024-04-01 05:55:00,2024-04-01 06:45:00,P2,Email,Tech,50
69,2024-04-01 03:44:00,2024-04-01 03:57:00,2024-04-01 04:15:00,P2,Web,General,18
70,2024-04-01 03:50:00,2024-04-01 04:58:00,2024-04-01 05:12:00,P2,Email,Billing,14
71,2024-04-01 03:51:00,2024-04-01 04:10:00,2024-04-01 05:10:00,P3,Chat,Tech,60
72,2024-04-01 04:08:00,2024-04-01 04:52:00,2024-04-01 05:31:00,P3,Web,General,39
73,2024-04-01 04:11:00,2024-04-01 04:19:00,2024-04-01 04:39:00,P2,Chat,General,20
74,2024-04-01 04:19:00,2024-04-01 05:40:00,2024-04-01 05:55:00,P2,Email,Billing,15
75,2024-04-01 04:25:00,2024-04-01 05:26:00,2024-04-01 06:00:00,P3,Web,Tech,34
76,2024-04-01 04:26:00,2024-04-01 05:18:00,2024-04-01 05:58:00,P2,Web,Billing,40
77,2024-04-01 04:27:00,2024-04-01 05:12:00,2024-04-01 05:39:00,P2,Web,Billing,27
78,2024-04-01 04:32:00,2024-04-01 05:18:00,2024-04-01 06:03:00,P2,Web,Tech,45
79,2024-04-01 04:32:00,2024-04-01 06:11:00,2024-04-01 06:17:00,P2,Email,General,6
80,2024-04-01 04:44:00,2024-04-01 07:20:00,2024-04-01 07:37:00,P2,Email,General,17
81,2024-04-01 04:47:00,2024-04-01 05:08:00,2024-04-01 06:05:00,P3,Web,Tech,57
82,2024-04-01 04:52:00,2024-04-01 04:52:00,2024-04-01 05:16:00,P2,Email,Billing,24
83,2024-04-01 05:00:00,2024-04-01 05:30:00,2024-04-01 06:30:00,P2,Web,Tech,60
84,2024-04-01 05:03:00,2024-04-01 05:54:00,2024-04-01 06:20:00,P2,Web,Billing,26
85,2024-04-01 05:07:00,2024-04-01 08:14:00,2024-04-01 08:27:00,P2,Email,Tech,13
86,2024-04-01 05:08:00,2024-04-01 06:03:00,2024-04-01 06:20:00,P3,Web,Billing,17
87,2024-04-01 05:10:00,2024-04-01 06:07:00,2024-04-01 06:29:00,P2,Web,Billing,22
88,2024-04-01 05:15:00,2024-04-01 05:37:00,2024-04-01 05:55:00,P3,Web,Billing,18
89,2024-04-01 05:22:00,2024-04-01 06:26:00,2024-04-01 06:53:00,P2,Web,Billing,27
90,2024-04-01 05:23:00,2024-04-01 07:06:00,2024-04-01 07:25:00,P3,Email,Tech,19
91,2024-04-01 05:23:00,2024-04-01 07:26:00,2024-04-01 08:06:00,P2,Email,Tech,40
92,2024-04-01 05:27:00,2024-04-01 05:28:00,2024-04-01 05:45:00,P2,Chat,Billing,17
93,2024-04-01 05:30:00,2024-04-01 06:32:00,2024-04-01 06:58:00,P2,Email,Tech,26
94,2024-04-01 05:32:00,2024-04-01 07:40:00,2024-04-01 07:49:00,P3,Email,Tech,9
95,2024-04-01 05:46:00,2024-04-01 06:07:00,2024-04-01 06:33:00,P2,Chat,Billing,26
96,2024-04-01 05:46:00,2024-04-01 07:06:00,2024-04-01 07:26:00,P1,Email,Tech,20
97,2024-04-01 05:51:00,2024-04-01 06:19:00,2024-04-01 06:46:00,P2,Web,Tech,27
98,2024-04-01 05:53:00,2024-04-01 07:15:00,2024-04-01 07:48:00,P3,Email,Tech,33
99,2024-04-01 05:55:00,2024-04-01 05:55:00,2024-04-01 06:41:00,P2,Email,General,46
100,2024-04-01 05:56:00,2024-04-01 05:56:00,2024-04-01 07:15:00,P2,Web,Tech,79
101,2024-04-01 06:03:00,2024-04-01 08:28:00,2024-04-01 08:46:00,P3,Email,General,18
102,2024-04-01 06:09:00,2024-04-01 06:09:00,2024-04-01 06:48:00,P1,Chat,Billing,39
103,2024-04-01 06:11:00,2024-04-01 06:43:00,2024-04-01 07:01:00,P2,Web,General,18
104,2024-04-01 06:14:00,2024-04-01 07:26:00,2024-04-01 07:53:00,P3,Email,Billing,27
105,2024-04-01 06:15:00,2024-04-01 06:30:00,2024-04-01 07:25:00,P2,Web,Billing,55
106,2024-04-01 06:20:00,2024-04-01 09:12:00,2024-04-01 09:42:00,P2,Email,Billing,30
107,2024-04-01 06:20:00,2024-04-01 07:33:00,2024-04-01 07:59:00,P2,Email,Tech,26
108,2024-04-01 06:24:00,2024-04-01 09:10:00,2024-04-01 09:56:00,P2,Email,Tech,46
109,2024-04-01 06:25:00,2024-04-01 08:50:00,2024-04-01 09:15:00,P3,Email,Tech,25
110,2024-04-01 06:40:00,2024-04-01 06:49:00,2024-04-01 07:13:00,P2,Web,Tech,24
111,2024-04-01 06:44:00,2024-04-01 07:04:00,2024-04-01 07:15:00,P2,Chat,General,11
112,2024-04-01 06:46:00,2024-04-01 07:10:00,2024-04-01 08:29:00,P2,Web,Tech,79
113,2024-04-01 06:48:00,2024-04-01 07:11:00,2024-04-01 07:26:00,P1,Web,Billing,15
114,2024-04-01 06:48:00,2024-04-01 07:34:00,2024-04-01 07:45:00,P2,Email,Tech,11
115,2024-04-01 06:48:00,2024-04-01 07:50:00,2024-04-01 08:40:00,P2,Web,Tech,50
116,2024-04-01 06:49:00,2024-04-01 07:19:00,2024-04-01 07:39:00,P3,Email,Billing,20
117,2024-04-01 06:51:00,2024-04-01 07:22:00,2024-04-01 07:58:00,P1,Web,Tech,36
118,2024-04-01 06:53:00,2024-04-01 07:30:00,2024-04-01 08:00:00,P1,Email,Billing,30
119,2024-04-01 06:53:00,2024-04-01 08:37:00,2024-04-01 09:06:00,P3,Email,Tech,29
120,2024-04-01 06:58:00,2024-04-01 08:35:00,2024-04-01 08:55:00,P2,Email,Billing,20
121,2024-04-01 07:02:00,2024-04-01 08:18:00,2024-04-01 08:33:00,P2,Email,Billing,15
122,2024-04-01 07:04:00,2024-04-01 07:52:00,2024-04-01 08:47:00,P3,Web,Tech,55
123,2024-04-01 07:07:00,2024-04-01 07:47:00,2024-04-01 08:20:00,P3,Email,Tech,33
124,2024-04-01 07:10:00,2024-04-01 08:10:00,2024-04-01 08:53:00,P2,Email,Billing,43
125,2024-04-01 07:30:00,2024-04-01 07:30:00,2024-04-01 07:55:00,P2,Email,Billing,25
126,2024-04-01 07:31:00,2024-04-01 09:30:00,2024-04-01 09:51:00,P2,Email,General,21
127,2024-04-01 07:32:00,2024-04-01 08:59:00,2024-04-01 09:25:00,P2,Email,Tech,26
128,2024-04-01 07:34:00,2024-04-01 08:18:00,2024-04-01 08:42:00,P2,Email,General,24
129,2024-04-01 07:43:00,2024-04-01 07:58:00,2024-04-01 08:18:00,P2,Web,Tech,20
130,2024-04-01 07:43:00,2024-04-01 09:14:00,2024-04-01 09:30:00,P3,Email,Billing,16
131,2024-04-01 07:47:00,2024-04-01 08:12:00,2024-04-01 09:28:00,P2,Web,Tech,76
132,2024-04-01 07:49:00,2024-04-01 09:00:00,2024-04-01 09:15:00,P3,Web,Billing,15
133,2024-04-01 07:56:00,2024-04-01 09:19:00,2024-04-01 10:02:00,P2,Email,Tech,43
134,2024-04-01 07:59:00,2024-04-01 08:04:00,2024-04-01 08:28:00,P2,Email,Tech,24
135,2024-04-01 07:59:00,2024-04-01 09:11:00,2024-04-01 09:22:00,P2,Email,General,11
136,2024-04-01 08:05:00,2024-04-01 09:38:00,2024-04-01 10:04:00,P2,Email,Tech,26
137,2024-04-01 08:09:00,2024-04-01 09:47:00,2024-04-01 10:29:00,P2,Email,General,42
138,2024-04-01 08:10:00,2024-04-01 08:51:00,2024-04-01 09:13:00,P2,Web,Billing,22
139,2024-04-01 08:14:00,2024-04-01 10:30:00,2024-04-01 10:58:00,P3,Email,Billing,28
140,2024-04-01 08:18:00,2024-04-01 10:00:00,2024-04-01 10:15:00,P3,Email,Billing,15
141,2024-04-01 08:19:00,2024-04-01 09:32:00,2024-04-01 09:46:00,P2,Web,General,14
142,2024-04-01 08:19:00,2024-04-01 08:51:00,2024-04-01 09:14:00,P2,Web,Billing,23
143,2024-04-01 08:20:00,2024-04-01 08:44:00,2024-04-01 09:05:00,P3,Chat,General,21
144,2024-04-01 08:22:00,2024-04-01 09:00:00,2024-04-01 10:09:00,P2,Email,Tech,69
145,2024-04-01 08:31:00,2024-04-01 09:08:00,2024-04-01 09:39:00,P2,Web,Tech,31
146,2024-04-01 08:33:00,2024-04-01 09:13:00,2024-04-01 09:49:00,P3,Web,Tech,36
147,2024-04-01 08:37:00,2024-04-01 08:37:00,2024-04-01 10:38:00,P1,Chat,Tech,121
148,2024-04-01 08:37:00,2024-04-01 09:29:00,2024-04-01 10:05:00,P2,Email,Tech,36
149,2024-04-01 08:39:00,2024-04-01 11:09:00,2024-04-01 11:22:00,P2,Email,General,13
150,2024-04-01 08:40:00,2024-04-01 11:13:00,2024-04-01 11:34:00,P2,Email,Billing,21
151,2024-04-01 08:43:00,2024-04-01 09:20:00,2024-04-01 09:35:00,P2,Web,Billing,15
152,2024-04-01 08:45:00,2024-04-01 09:41:00,2024-04-01 09:47:00,P1,Email,Billing,6
153,2024-04-01 08:47:00,2024-04-01 10:32:00,2024-04-01 11:07:00,P3,Email,Tech,35
154,2024-04-01 08:47:00,2024-04-01 09:13:00,2024-04-01 09:27:00,P2,Email,Tech,14
155,2024-04-01 08:49:00,2024-04-01 09:28:00,2024-04-01 10:05:00,P2,Email,Tech,37
156,2024-04-01 08:49:00,2024-04-01 09:15:00,2024-04-01 09:40:00,P3,Web,Billing,25
157,2024-04-01 08:50:00,2024-04-01 11:05:00,2024-04-01 12:09:00,P2,Email,Tech,64
158,2024-04-01 08:55:00,2024-04-01 08:55:00,2024-04-01 09:18:00,P1,Web,General,23
159,2024-04-01 08:57:00,2024-04-01 10:19:00,2024-04-01 10:27:00,P2,Email,General,8
160,2024-04-01 08:58:00,2024-04-01 09:38:00,2024-04-01 10:16:00,P3,Web,Tech,38
161,2024-04-01 08:59:00,2024-04-01 09:16:00,2024-04-01 09:43:00,P2,Email,Tech,27
162,2024-04-01 09:01:00,2024-04-01 11:18:00,2024-04-01 11:37:00,P3,Email,Billing,19
163,2024-04-01 09:01:00,2024-04-01 09:41:00,2024-04-01 10:09:00,P2,Web,Tech,28
164,2024-04-01 09:02:00,2024-04-01 10:54:00,2024-04-01 11:29:00,P1,Email,Billing,35
165,2024-04-01 09:04:00,2024-04-01 09:54:00,2024-04-01 10:18:00,P3,Email,Tech,24
166,2024-04-01 09:04:00,2024-04-01 09:13:00,2024-04-01 09:40:00,P2,Chat,Billing,27
167,2024-04-01 09:04:00,2024-04-01 10:41:00,2024-04-01 10:53:00,P3,Email,General,12
168,2024-04-01 09:06:00,2024-04-01 09:11:00,2024-04-01 09:28:00,P2,Chat,Billing,17
169,2024-04-01 09:06:00,2024-04-01 10:06:00,2024-04-01 10:12:00,P1,Email,Tech,6
170,2024-04-01 09:07:00,2024-04-01 11:23:00,2024-04-01 11:38:00,P2,Email,Billing,15
171,2024-04-01 09:08:00,2024-04-01 09:52:00,2024-04-01 10:41:00,P2,Web,General,49
172,2024-04-01 09:08:00,2024-04-01 10:27:00,2024-04-01 10:45:00,P2,Email,General,18
173,2024-04-01 09:08:00,2024-04-01 10:10:00,2024-04-01 10:38:00,P3,Web,Tech,28
174,2024-04-01 09:09:00,2024-04-01 09:22:00,2024-04-01 09:46:00,P3,Chat,Billing,24
175,2024-04-01 09:09:00,2024-04-01 10:55:00,2024-04-01 12:46:00,P3,Email,Tech,111
176,2024-04-01 09:10:00,2024-04-01 09:40:00,2024-04-01 09:50:00,P2,Web,General,10
177,2024-04-01 09:10:00,2024-04-01 11:48:00,2024-04-01 11:59:00,P2,Email,General,11
178,2024-04-01 09:11:00,2024-04-01 09:11:00,2024-04-01 09:32:00,P3,Web,Tech,21
179,2024-04-01 09:12:00,2024-04-01 09:12:00,2024-04-01 09:28:00,P2,Email,Billing,16
180,2024-04-01 09:12:00,2024-04-01 11:09:00,2024-04-01 11:47:00,P2,Email,General,38
181,2024-04-01 09:12:00,2024-04-01 11:45:00,2024-04-01 12:02:00,P2,Email,Tech,17
182,2024-04-01 09:14:00,2024-04-01 09:25:00,2024-04-01 09:39:00,P3,Web,Billing,14
183,2024-04-01 09:14:00,2024-04-01 10:54:00,2024-04-01 11:27:00,P3,Email,General,33
184,2024-04-01 09:14:00,2024-04-01 09:19:00,2024-04-01 09:32:00,P1,Email,General,13
185,2024-04-01 09:14:00,2024-04-01 10:16:00,2024-04-01 10:38:00,P3,Email,Billing,22
186,2024-04-01 09:16:00,2024-04-01 10:47:00,2024-04-01 10:54:00,P3,Email,Billing,7
187,2024-04-01 09:16:00,2024-04-01 12:17:00,2024-04-01 12:43:00,P2,Email,Billing,26
188,2024-04-01 09:17:00,2024-04-01 11:21:00,2024-04-01 11:43:00,P2,Email,Tech,22
189,2024-04-01 09:17:00,2024-04-01 09:35:00,2024-04-01 11:10:00,P2,Email,Billing,95
190,2024-04-01 09:20:00,2024-04-01 10:02:00,2024-04-01 10:15:00,P2,Email,General,13
191,2024-04-01 09:20:00,2024-04-01 09:39:00,2024-04-01 10:06:00,P2,Email,Billing,27
192,2024-04-01 09:24:00,2024-04-01 09:50:00,2024-04-01 10:07:00,P2,Web,General,17
193,2024-04-01 09:24:00,2024-04-01 10:14:00,2024-04-01 10:38:00,P2,Email,Tech,24
194,2024-04-01 09:24:00,2024-04-01 11:18:00,2024-04-01 11:31:00,P2,Email,General,13
195,2024-04-01 09:27:00,2024-04-01 10:35:00,2024-04-01 10:43:00,P2,Web,Billing,8
196,2024-04-01 09:27:00,2024-04-01 10:03:00,2024-04-01 10:40:00,P3,Web,Billing,37
197,2024-04-01 09:27:00,2024-04-01 11:27:00,2024-04-01 11:40:00,P2,Email,General,13
198,2024-04-01 09:28:00,2024-04-01 10:22:00,2024-04-01 10:49:00,P3,Web,Billing,27
199,2024-04-01 09:28:00,2024-04-01 11:09:00,2024-04-01 11:42:00,P3,Email,Billing,33
200,2024-04-01 09:28:00,2024-04-01 11:42:00,2024-04-01 12:31:00,P3,Email,Billing,49
201,2024-04-01 09:31:00,2024-04-01 09:34:00,2024-04-01 10:08:00,P2,Web,Tech,34
202,2024-04-01 09:32:00,2024-04-01 11:15:00,2024-04-01 11:33:00,P3,Email,General,18
203,2024-04-01 09:34:00,2024-04-01 09:59:00,2024-04-01 10:39:00,P3,Chat,Tech,40
204,2024-04-01 09:34:00,2024-04-01 10:10:00,2024-04-01 10:19:00,P3,Web,Billing,9
205,2024-04-01 09:36:00,2024-04-01 10:13:00,2024-04-01 11:48:00,P1,Email,Tech,95
206,2024-04-01 09:37:00,2024-04-01 10:32:00,2024-04-01 11:14:00,P2,Email,Tech,42
207,2024-04-01 09:37:00,2024-04-01 10:16:00,2024-04-01 10:31:00,P2,Web,Billing,15
208,2024-04-01 09:38:00,2024-04-01 10:00:00,2024-04-01 10:14:00,P1,Web,Billing,14
209,2024-04-01 09:39:00,2024-04-01 10:07:00,2024-04-01 10:54:00,P3,Web,Billing,47
210,2024-04-01 09:39:00,2024-04-01 11:10:00,2024-04-01 11:33:00,P2,Email,Tech,23
211,2024-04-01 09:40:00,2024-04-01 10:33:00,2024-04-01 10:57:00,P3,Web,General,24
212,2024-04-01 09:40:00,2024-04-01 10:09:00,2024-04-01 10:30:00,P2,Email,General,21
213,2024-04-01 09:40:00,2024-04-01 11:53:00,2024-04-01 12:08:00,P2,Email,General,15
214,2024-04-01 09:41:00,2024-04-01 09:41:00,2024-04-01 10:19:00,P1,Chat,Billing,38
215,2024-04-01 09:42:00,2024-04-01 10:38:00,2024-04-01 10:57:00,P2,Email,General,19
216,2024-04-01 09:42:00,2024-04-01 10:18:00,2024-04-01 11:11:00,P1,Web,Tech,53
217,2024-04-01 09:42:00,2024-04-01 11:21:00,2024-04-01 11:32:00,P3,Email,General,11
218,2024-04-01 09:42:00,2024-04-01 10:11:00,2024-04-01 10:26:00,P2,Web,General,15
219,2024-04-01 09:43:00,2024-04-01 11:16:00,2024-04-01 11:43:00,P2,Email,Tech,27
220,2024-04-01 09:45:00,2024-04-01 11:34:00,2024-04-01 12:03:00,P1,Email,Billing,29
221,2024-04-01 09:45:00,2024-04-01 12:13:00,2024-04-01 12:33:00,P2,Email,Tech,20
222,2024-04-01 09:47:00,2024-04-01 10:31:00,2024-04-01 10:44:00,P2,Web,General,13
223,2024-04-01 09:47:00,2024-04-01 10:31:00,2024-04-01 10:54:00,P3,Web,Billing,23
224,2024-04-01 09:48:00,2024-04-01 10:35:00,2024-04-01 10:56:00,P2,Email,Tech,21
225,2024-04-01 09:49:00,2024-04-01 10:28:00,2024-04-01 10:51:00,P1,Web,Billing,23
226,2024-04-01 09:49:00,2024-04-01 11:15:00,2024-04-01 12:15:00,P3,Email,Tech,60
227,2024-04-01 09:51:00,2024-04-01 12:07:00,2024-04-01 12:51:00,P2,Email,Tech,44
228,2024-04-01 09:52:00,2024-04-01 10:24:00,2024-04-01 10:55:00,P2,Web,Billing,31
229,2024-04-01 09:53:00,2024-04-01 11:58:00,2024-04-01 12:13:00,P3,Email,General,15
230,2024-04-01 09:54:00,2024-04-01 11:23:00,2024-04-01 11:37:00,P2,Email,Billing,14
231,2024-04-01 09:54:00,2024-04-01 10:45:00,2024-04-01 11:14:00,P2,Email,Tech,29
232,2024-04-01 09:54:00,2024-04-01 11:04:00,2024-04-01 11:26:00,P3,Web,Tech,22
233,2024-04-01 09:55:00,2024-04-01 10:56:00,2024-04-01 11:29:00,P2,Web,Billing,33
234,2024-04-01 09:55:00,2024-04-01 09:55:00,2024-04-01 10:24:00,P1,Chat,Billing,29
235,2024-04-01 09:57:00,2024-04-01 09:59:00,2024-04-01 10:47:00,P2,Chat,Billing,48
236,2024-04-01 09:57:00,2024-04-01 10:32:00,2024-04-01 11:03:00,P1,Web,Tech,31
237,2024-04-01 09:57:00,2024-04-01 09:57:00,2024-04-01 10:24:00,P2,Email,Billing,27
238,2024-04-01 09:58:00,2024-04-01 10:30:00,2024-04-01 11:32:00,P3,Web,Tech,62
239,2024-04-01 09:59:00,2024-04-01 11:36:00,2024-04-01 11:56:00,P3,Email,Billing,20
240,2024-04-01 10:00:00,2024-04-01 11:06:00,2024-04-01 11:22:00,P3,Email,General,16
241,2024-04-01 10:00:00,2024-04-01 10:22:00,2024-04-01 11:20:00,P3,Chat,Tech,58
242,2024-04-01 10:00:00,2024-04-01 10:24:00,2024-04-01 10:38:00,P2,Web,Billing,14
243,2024-04-01 10:01:00,2024-04-01 10:59:00,2024-04-01 11:35:00,P2,Web,Tech,36
244,2024-04-01 10:01:00,2024-04-01 10:27:00,2024-04-01 10:45:00,P2,Web,Billing,18
245,2024-04-01 10:03:00,2024-04-01 10:25:00,2024-04-01 10:47:00,P2,Web,Billing,22
246,2024-04-01 10:04:00,2024-04-01 12:44:00,2024-04-01 13:01:00,P2,Email,Billing,17
247,2024-04-01 10:07:00,2024-04-01 11:30:00,2024-04-01 12:19:00,P2,Email,Tech,49
248,2024-04-01 10:08:00,2024-04-01 10:14:00,2024-04-01 10:23:00,P3,Chat,Billing,9
249,2024-04-01 10:08:00,2024-04-01 10:13:00,2024-04-01 11:03:00,P2,Chat,Tech,50
250,2024-04-01 10:09:00,2024-04-01 10:44:00,2024-04-01 11:30:00,P3,Web,Tech,46
251,2024-04-01 10:09:00,2024-04-01 11:18:00,2024-04-01 11:36:00,P1,Email,General,18
252,2024-04-01 10:11:00,2024-04-01 10:46:00,2024-04-01 11:07:00,P2,Web,Billing,21
253,2024-04-01 10:12:00,2024-04-01 10:27:00,2024-04-01 10:39:00,P2,Web,General,12
254,2024-04-01 10:13:00,2024-04-01 11:46:00,2024-04-01 12:41:00,P2,Email,Tech,55
255,2024-04-01 10:15:00,2024-04-01 10:15:00,2024-04-01 10:34:00,P1,Web,Billing,19
256,2024-04-01 10:16:00,2024-04-01 10:29:00,2024-04-01 10:51:00,P2,Chat,Billing,22
257,2024-04-01 10:17:00,2024-04-01 10:56:00,2024-04-01 11:17:00,P2,Email,Tech,21
258,2024-04-01 10:17:00,2024-04-01 12:28:00,2024-04-01 13:32:00,P2,Email,Tech,64
259,2024-04-01 10:18:00,2024-04-01 10:45:00,2024-04-01 11:25:00,P2,Web,Billing,40
260,2024-04-01 10:19:00,2024-04-01 10:54:00,2024-04-01 11:01:00,P1,Web,Billing,7
261,2024-04-01 10:24:00,2024-04-01 10:34:00,2024-04-01 10:43:00,P2,Web,Billing,9
262,2024-04-01 10:25:00,2024-04-01 10:44:00,2024-04-01 11:04:00,P3,Web,General,20
263,2024-04-01 10:26:00,2024-04-01 11:32:00,2024-04-01 11:54:00,P2,Email,Billing,22
264,2024-04-01 10:26:00,2024-04-01 10:35:00,2024-04-01 11:34:00,P2,Chat,Tech,59
