invoice_id,subscription_id,account_id,invoice_month,amount,paid
INV0000065,SUB00008_1,ACCT00008,2025-07-01,94.07,1
INV0000066,SUB00008_1,ACCT00008,2025-08-01,94.36,1
INV0000067,SUB00009_1,ACCT00009,2025-04-01,1843.6,1
INV0000068,SUB00009_1,ACCT00009,2025-05-01,1926.21,1
INV0000069,SUB00009_1,ACCT00009,2025-06-01,2033.56,1
INV0000070,SUB00009_1,ACCT00009,2025-07-01,1878.7,0
INV0000071,SUB00009_1,ACCT00009,2025-08-01,1859.1,1
INV0000072,SUB00010_1,ACCT00010,2024-09-01,92.44,1
INV0000073,SUB00010_1,ACCT00010,2024-10-01,92.03,1
INV0000074,SUB00010_1,ACCT00010,2024-11-01,94.28,1
INV0000075,SUB00010_1,ACCT00010,2024-12-01,93.34,1
INV0000076,SUB00010_1,ACCT00010,2025-01-01,94.35,1
INV0000077,SUB00010_1,ACCT00010,2025-02-01,90.55,1
INV0000078,SUB00010_2,ACCT00010,2025-03-01,87.11,1
INV0000079,SUB00010_2,ACCT00010,2025-04-01,86.53,1
INV0000080,SUB00010_2,ACCT00010,2025-05-01,87.85,1
INV0000081,SUB00010_2,ACCT00010,2025-06-01,88.21,1
INV0000082,SUB00010_2,ACCT00010,2025-07-01,82.65,1
INV0000083,SUB00010_2,ACCT00010,2025-08-01,82.3,1
INV0000084,SUB00011_1,ACCT00011,2024-09-01,351.28,1
INV0000085,SUB00011_1,ACCT00011,2024-10-01,371.49,1
INV0000086,SUB00012_1,ACCT00012,2025-04-01,348.97,1
INV0000087,SUB00012_1,ACCT00012,2025-05-01,331.3,1
INV0000088,SUB00012_1,ACCT00012,2025-06-01,343.66,1
INV0000089,SUB00012_1,ACCT00012,2025-07-01,330.14,1
INV0000090,SUB00012_1,ACCT00012,2025-08-01,366.87,1
INV0000091,SUB00013_1,ACCT00013,2024-12-01,390.28,1
INV0000092,SUB00013_1,ACCT00013,2025-01-01,370.45,1
INV0000093,SUB00013_1,ACCT00013,2025-02-01,388.41,1
INV0000094,SUB00013_1,ACCT00013,2025-03-01,413.58,1
INV0000095,SUB00013_1,ACCT00013,2025-04-01,388.89,1
INV0000096,SUB00014_1,ACCT00014,2024-11-01,333.06,1
INV0000097,SUB00014_1,ACCT00014,2024-12-01,343.16,1
INV0000098,SUB00014_1,ACCT00014,2025-01-01,354.3,1
INV0000099,SUB00014_1,ACCT00014,2025-02-01,365.19,1
INV0000100,SUB00014_1,ACCT00014,2025-03-01,355.09,1
INV0000101,SUB00014_1,ACCT00014,2025-04-01,353.49,1
INV0000102,SUB00014_1,ACCT00014,2025-05-01,335.96,1
INV0000103,SUB00014_1,ACCT00014,2025-06-01,354.42,1
INV0000104,SUB00014_1,ACCT00014,2025-07-01,363.43,1
INV0000105,SUB00014_1,ACCT00014,2025-08-01,338.47,1
INV0000106,SUB00015_1,ACCT00015,2025-04-01,354.47,1
INV0000107,SUB00015_1,ACCT00015,2025-05-01,354.12,1
INV0000108,SUB00015_1,ACCT00015,2025-06-01,367.81,1
INV0000109,SUB00015_1,ACCT00015,2025-07-01,362.0,1
INV0000110,SUB00015_1,ACCT00015,2025-08-01,382.84,1
INV0000111,SUB00016_1,ACCT00016,2025-01-01,103.09,1
INV0000112,SUB00016_1,ACCT00016,2025-02-01,101.0,1
INV0000113,SUB00016_1,ACCT00016,2025-03-01,100.01,1
INV0000114,SUB00016_1,ACCT00016,2025-04-01,94.59,1
INV0000115,SUB00016_1,ACCT00016,2025-05-01,98.28,1
INV0000116,SUB00016_1,ACCT00016,2025-06-01,99.03,1
INV0000117,SUB00017_1,ACCT00017,2024-10-01,367.74,1
INV0000118,SUB00017_1,ACCT00017,2024-11-01,350.78,1
INV0000119,SUB00017_1,ACCT00017,2024-12-01,362.57,1
INV0000120,SUB00017_1,ACCT00017,2025-01-01,355.12,1
INV0000121,SUB00017_1,ACCT00017,2025-02-01,357.34,1
INV0000122,SUB00017_1,ACCT00017,2025-03-01,346.14,1
INV0000123,SUB00017_1,ACCT00017,2025-04-01,335.39,1
INV0000124,SUB00017_1,ACCT00017,2025-05-01,359.32,1
INV0000125,SUB00017_1,ACCT00017,2025-06-01,362.09,1
INV0000126,SUB00017_1,ACCT00017,2025-07-01,330.86,1
INV0000127,SUB00017_1,ACCT00017,2025-08-01,345.23,1
INV0000128,SUB00018_1,ACCT00018,2024-12-01,362.58,1
INV0000129,SUB00018_1,ACCT00018,2025-01-01,371.33,1
INV0000130,SUB00018_1,ACCT00018,2025-02-01,349.66,1
INV0000131,SUB00018_1,ACCT00018,2025-03-01,386.47,1
INV0000132,SUB00019_1,ACCT00019,2025-03-01,82.95,1
INV0000133,SUB00019_1,ACCT00019,2025-04-01,84.6,1
INV0000134,SUB00019_1,ACCT00019,2025-05-01,83.4,1
INV0000135,SUB00019_1,ACCT00019,2025-06-01,86.41,1
INV0000136,SUB00019_1,ACCT00019,2025-07-01,85.29,1
INV0000137,SUB00019_1,ACCT00019,2025-08-01,86.15,1
INV0000138,SUB00020_1,ACCT00020,2024-10-01,91.22,1
INV0000139,SUB00020_1,ACCT00020,2024-11-01,93.26,1
INV0000140,SUB00020_1,ACCT00020,2024-12-01,94.07,1
INV0000141,SUB00020_1,ACCT00020,2025-01-01,98.81,1
INV0000142,SUB00020_1,ACCT00020,2025-02-01,94.67,1
INV0000143,SUB00020_1,ACCT00020,2025-03-01,92.31,1
INV0000144,SUB00021_1,ACCT00021,2025-01-01,91.51,1
INV0000145,SUB00021_1,ACCT00021,2025-02-01,86.12,1
INV0000146,SUB00021_1,ACCT00021,2025-03-01,88.81,1
INV0000147,SUB00021_1,ACCT00021,2025-04-01,88.64,1
INV0000148,SUB00021_1,ACCT00021,2025-05-01,86.59,1
INV0000149,SUB00022_1,ACCT00022,2025-02-01,338.63,1
INV0000150,SUB00022_1,ACCT00022,2025-03-01,345.81,1
INV0000151,SUB00022_1,ACCT00022,2025-04-01,324.48,1
INV0000152,SUB00022_1,ACCT00022,2025-05-01,342.15,1
INV0000153,SUB00022_1,ACCT00022,2025-06-01,319.86,1
INV0000154,SUB00022_1,ACCT00022,2025-07-01,318.53,1
INV0000155,SUB00022_1,ACCT00022,2025-08-01,351.05,1
INV0000156,SUB00023_1,ACCT00023,2024-12-01,94.75,1
INV0000157,SUB00023_1,ACCT00023,2025-01-01,97.01,1
INV0000158,SUB00023_1,ACCT00023,2025-02-01,95.98,1
INV0000159,SUB00023_1,ACCT00023,2025-03-01,88.63,1
INV0000160,SUB00023_1,ACCT00023,2025-04-01,98.72,1
INV0000161,SUB00023_1,ACCT00023,2025-05-01,94.44,1
INV0000162,SUB00023_1,ACCT00023,2025-06-01,93.47,1
INV0000163,SUB00024_1,ACCT00024,2025-04-01,96.77,1
INV0000164,SUB00024_1,ACCT00024,2025-05-01,88.44,1
INV0000165,SUB00024_1,ACCT00024,2025-06-01,91.79,1
INV0000166,SUB00024_2,ACCT00024,2025-07-01,408.52,1
INV0000167,SUB00024_2,ACCT00024,2025-08-01,376.05,1
INV0000168,SUB00025_1,ACCT00025,2024-09-01,363.89,1
INV0000169,SUB00025_1,ACCT00025,2024-10-01,366.85,1
INV0000170,SUB00025_1,ACCT00025,2024-11-01,345.97,1
INV0000171,SUB00025_1,ACCT00025,2024-12-01,346.97,1
INV0000172,SUB00025_1,ACCT00025,2025-01-01,344.58,1
INV0000173,SUB00025_1,ACCT00025,2025-02-01,348.69,1
INV0000174,SUB00025_1,ACCT00025,2025-03-01,355.28,1
INV0000175,SUB00025_1,ACCT00025,2025-04-01,351.28,1
INV0000176,SUB00025_1,ACCT00025,2025-05-01,353.51,1
INV0000177,SUB00025_2,ACCT00025,2025-06-01,369.97,1
INV0000178,SUB00025_2,ACCT00025,2025-07-01,401.32,1
INV0000179,SUB00025_2,ACCT00025,2025-08-01,381.05,1
INV0000180,SUB00026_1,ACCT00026,2025-01-01,80.99,1
INV0000181,SUB00026_1,ACCT00026,2025-02-01,79.88,1
INV0000182,SUB00026_1,ACCT00026,2025-03-01,83.86,1
INV0000183,SUB00026_1,ACCT00026,2025-04-01,82.69,1
INV0000184,SUB00026_1,ACCT00026,2025-05-01,84.73,1
INV0000185,SUB00026_1,ACCT00026,2025-06-01,82.55,1
INV0000186,SUB00026_1,ACCT00026,2025-07-01,84.35,1
INV0000187,SUB00027_1,ACCT00027,2024-09-01,87.62,1
INV0000188,SUB00027_1,ACCT00027,2024-10-01,84.58,1
INV0000189,SUB00027_1,ACCT00027,2024-11-01,87.75,1
INV0000190,SUB00027_1,ACCT00027,2024-12-01,86.59,1
INV0000191,SUB00027_1,ACCT00027,2025-01-01,86.71,1
INV0000192,SUB00027_1,ACCT00027,2025-02-01,91.21,1
INV0000193,SUB00027_1,ACCT00027,2025-03-01,90.52,1
INV0000194,SUB00027_2,ACCT00027,2025-04-01,96.14,1
INV0000195,SUB00027_2,ACCT00027,2025-05-01,94.48,1
INV0000196,SUB00027_2,ACCT00027,2025-06-01,97.53,1
INV0000197,SUB00027_2,ACCT00027,2025-07-01,95.34,0
INV0000198,SUB00027_2,ACCT00027,2025-08-01,96.39,1
INV0000199,SUB00028_1,ACCT00028,2024-09-01,89.91,1
INV0000200,SUB00028_1,ACCT00028,2024-10-01,87.11,1
INV0000201,SUB00028_1,ACCT00028,2024-11-01,86.79,1
INV0000202,SUB00028_1,ACCT00028,2024-12-01,90.81,1
INV0000203,SUB00028_2,ACCT00028,2025-01-01,91.44,1
INV0000204,SUB00028_2,ACCT00028,2025-02-01,92.34,1
INV0000205,SUB00028_2,ACCT00028,2025-03-01,95.56,1
INV0000206,SUB00028_2,ACCT00028,2025-04-01,91.91,1
INV0000207,SUB00028_2,ACCT00028,2025-05-01,91.17,1
INV0000208,SUB00028_2,ACCT00028,2025-06-01,97.24,1
INV0000209,SUB00028_2,ACCT00028,2025-07-01,94.24,1
INV0000210,SUB00028_2,ACCT00028,2025-08-01,89.8,1
INV0000211,SUB00029_1,ACCT00029,2024-09-01,372.85,1
INV0000212,SUB00029_1,ACCT00029,2024-10-01,366.42,1
INV0000213,SUB00029_1,ACCT00029,2024-11-01,370.15,1
INV0000214,SUB00029_1,ACCT00029,2024-12-01,388.14,1
INV0000215,SUB00029_1,ACCT00029,2025-01-01,353.7,1
INV0000216,SUB00029_1,ACCT00029,2025-02-01,354.52,1
INV0000217,SUB00030_1,ACCT00030,2024-09-01,319.76,1
INV0000218,SUB00030_1,ACCT00030,2024-10-01,308.84,1
INV0000219,SUB00030_1,ACCT00030,2024-11-01,307.35,1
INV0000220,SUB00030_1,ACCT00030,2024-12-01,301.23,1
INV0000221,SUB00030_1,ACCT00030,2025-01-01,327.88,1
INV0000222,SUB00030_1,ACCT00030,2025-02-01,326.21,1
INV0000223,SUB00030_1,ACCT00030,2025-03-01,312.76,1
INV0000224,SUB00030_2,ACCT00030,2025-04-01,335.67,1
INV0000225,SUB00030_2,ACCT00030,2025-05-01,348.7,1
INV0000226,SUB00030_2,ACCT00030,2025-06-01,352.17,1
INV0000227,SUB00030_2,ACCT00030,2025-07-01,345.46,1
INV0000228,SUB00030_2,ACCT00030,2025-08-01,341.31,1
INV0000229,SUB00031_1,ACCT00031,2024-11-01,84.91,1
INV0000230,SUB00031_1,ACCT00031,2024-12-01,88.38,1
INV0000231,SUB00031_1,ACCT00031,2025-01-01,93.51,1
INV0000232,SUB00031_1,ACCT00031,2025-02-01,85.55,1
INV0000233,SUB00031_1,ACCT00031,2025-03-01,82.74,1
INV0000234,SUB00031_1,ACCT00031,2025-04-01,83.83,1
INV0000235,SUB00031_1,ACCT00031,2025-05-01,87.49,1
INV0000236,SUB00031_1,ACCT00031,2025-06-01,90.75,1
INV0000237,SUB00031_1,ACCT00031,2025-07-01,90.96,1
INV0000238,SUB00031_1,ACCT00031,2025-08-01,86.6,1
INV0000239,SUB00032_1,ACCT00032,2024-12-01,86.15,1
INV0000240,SUB00032_1,ACCT00032,2025-01-01,91.44,1
INV0000241,SUB00032_1,ACCT00032,2025-02-01,88.0,1
INV0000242,SUB00032_1,ACCT00032,2025-03-01,89.73,1
INV0000243,SUB00032_1,ACCT00032,2025-04-01,87.18,1
INV0000244,SUB00032_1,ACCT00032,2025-05-01,89.42,1
INV0000245,SUB00032_1,ACCT00032,2025-06-01,87.75,1
INV0000246,SUB00033_1,ACCT00033,2024-10-01,348.46,1
INV0000247,SUB00033_1,ACCT00033,2024-11-01,326.65,1
INV0000248,SUB00033_1,ACCT00033,2024-12-01,322.63,1
INV0000249,SUB00033_1,ACCT00033,2025-01-01,340.3,1
INV0000250,SUB00033_1,ACCT00033,2025-02-01,315.41,1
INV0000251,SUB00033_1,ACCT00033,2025-03-01,339.91,1
INV0000252,SUB00033_1,ACCT00033,2025-04-01,346.45,1
INV0000253,SUB00034_1,ACCT00034,2024-12-01,93.25,1
INV0000254,SUB00034_1,ACCT00034,2025-01-01,92.34,1
INV0000255,SUB00034_1,ACCT00034,2025-02-01,93.7,1
INV0000256,SUB00035_1,ACCT00035,2025-04-01,388.34,1
INV0000257,SUB00035_1,ACCT00035,2025-05-01,369.83,1
INV0000258,SUB00035_1,ACCT00035,2025-06-01,385.56,1
INV0000259,SUB00035_1,ACCT00035,2025-07-01,376.33,1
INV0000260,SUB00035_1,ACCT00035,2025-08-01,404.23,1
INV0000261,SUB00036_1,ACCT00036,2024-12-01,97.05,1
INV0000262,SUB00036_1,ACCT00036,2025-01-01,94.5,1
INV0000263,SUB00036_1,ACCT00036,2025-02-01,95.9,1
INV0000264,SUB00036_1,ACCT00036,2025-03-01,94.11,1
INV0000265,SUB00037_1,ACCT00037,2024-09-01,96.39,1
INV0000266,SUB00037_1,ACCT00037,2024-10-01,90.21,1
INV0000267,SUB00037_1,ACCT00037,2024-11-01,97.99,1
INV0000268,SUB00037_1,ACCT00037,2024-12-01,95.62,1
INV0000269,SUB00037_1,ACCT00037,2025-01-01,89.68,1
INV0000270,SUB00037_1,ACCT00037,2025-02-01,91.33,1
INV0000271,SUB00037_1,ACCT00037,2025-03-01,93.19,1
INV0000272,SUB00037_1,ACCT00037,2025-04-01,93.93,1
INV0000273,SUB00037_1,ACCT00037,2025-05-01,95.42,1
INV0000274,SUB00038_1,ACCT00038,2025-04-01,1889.92,1
INV0000275,SUB00038_1,ACCT00038,2025-05-01,1863.75,1
INV0000276,SUB00038_1,ACCT00038,2025-06-01,1913.41,1
INV0000277,SUB00038_1,ACCT00038,2025-07-01,1789.78,1
INV0000278,SUB00038_1,ACCT00038,2025-08-01,1865.82,1
INV0000279,SUB00039_1,ACCT00039,2024-12-01,95.94,1
INV0000280,SUB00039_1,ACCT00039,2025-01-01,93.9,1
INV0000281,SUB00039_1,ACCT00039,2025-02-01,104.02,1
INV0000282,SUB00039_1,ACCT00039,2025-03-01,99.21,1
INV0000283,SUB00039_1,ACCT00039,2025-04-01,96.96,1
INV0000284,SUB00039_1,ACCT00039,2025-05-01,99.28,1
INV0000285,SUB00039_1,ACCT00039,2025-06-01,97.14,1
INV0000286,SUB00039_1,ACCT00039,2025-07-01,95.33,1
INV0000287,SUB00039_1,ACCT00039,2025-08-01,98.72,1
INV0000288,SUB00039_2,ACCT00039,2025-08-01,85.39,1
INV0000289,SUB00040_1,ACCT00040,2024-11-01,1728.04,1
INV0000290,SUB00040_1,ACCT00040,2024-12-01,1819.11,1
INV0000291,SUB00040_1,ACCT00040,2025-01-01,1775.96,1
INV0000292,SUB00040_1,ACCT00040,2025-02-01,1811.03,1
INV0000293,SUB00040_1,ACCT00040,2025-03-01,1784.98,1
INV0000294,SUB00040_1,ACCT00040,2025-04-01,1700.08,1
INV0000295,SUB00040_1,ACCT00040,2025-05-01,1744.95,1
INV0000296,SUB00040_1,ACCT00040,2025-06-01,1823.9,1
INV0000297,SUB00040_2,ACCT00040,2025-06-01,359.85,1
INV0000298,SUB00040_2,ACCT00040,2025-07-01,370.03,0
INV0000299,SUB00040_2,ACCT00040,2025-08-01,361.73,1
INV0000300,SUB00041_1,ACCT00041,2024-09-01,89.77,1
INV0000301,SUB00041_1,ACCT00041,2024-10-01,95.59,1
INV0000302,SUB00041_1,ACCT00041,2024-11-01,92.17,1
INV0000303,SUB00041_1,ACCT00041,2024-12-01,88.03,1
INV0000304,SUB00041_1,ACCT00041,2025-01-01,97.43,1
INV0000305,SUB00041_1,ACCT00041,2025-02-01,92.61,1
INV0000306,SUB00041_1,ACCT00041,2025-03-01,91.45,1
INV0000307,SUB00041_1,ACCT00041,2025-04-01,86.67,1
INV0000308,SUB00041_1,ACCT00041,2025-05-01,91.87,1
INV0000309,SUB00041_2,ACCT00041,2025-05-01,398.7,1
INV0000310,SUB00041_2,ACCT00041,2025-06-01,373.34,1
INV0000311,SUB00041_2,ACCT00041,2025-07-01,390.46,1
INV0000312,SUB00041_2,ACCT00041,2025-08-01,368.59,1
INV0000313,SUB00042_1,ACCT00042,2024-09-01,91.32,1
INV0000314,SUB00042_1,ACCT00042,2024-10-01,88.93,1
INV0000315,SUB00042_1,ACCT00042,2024-11-01,91.25,1
INV0000316,SUB00042_1,ACCT00042,2024-12-01,93.28,1
INV0000317,SUB00042_1,ACCT00042,2025-01-01,87.07,1
INV0000318,SUB00042_1,ACCT00042,2025-02-01,81.93,1
INV0000319,SUB00042_1,ACCT00042,2025-03-01,91.37,1
INV0000320,SUB00042_1,ACCT00042,2025-04-01,86.51,1
INV0000321,SUB00042_1,ACCT00042,2025-05-01,83.31,1
INV0000322,SUB00042_1,ACCT00042,2025-06-01,90.09,1
INV0000323,SUB00043_1,ACCT00043,2024-11-01,85.21,1
INV0000324,SUB00043_1,ACCT00043,2024-12-01,92.14,1
INV0000325,SUB00043_1,ACCT00043,2025-01-01,89.18,1
INV0000326,SUB00043_1,ACCT00043,2025-02-01,82.09,1
INV0000327,SUB00043_2,ACCT00043,2025-04-01,373.93,1
INV0000328,SUB00043_2,ACCT00043,2025-05-01,366.91,1
INV0000329,SUB00043_2,ACCT00043,2025-06-01,382.56,1
INV0000330,SUB00043_2,ACCT00043,2025-07-01,371.03,1
INV0000331,SUB00043_2,ACCT00043,2025-08-01,387.77,1
INV0000332,SUB00044_1,ACCT00044,2025-03-01,96.11,1
INV0000333,SUB00044_1,ACCT00044,2025-04-01,100.76,1
INV0000334,SUB00044_1,ACCT00044,2025-05-01,95.64,1
INV0000335,SUB00044_1,ACCT00044,2025-06-01,92.55,1
INV0000336,SUB00044_1,ACCT00044,2025-07-01,94.1,1
INV0000337,SUB00044_1,ACCT00044,2025-08-01,92.06,1
INV0000338,SUB00045_1,ACCT00045,2024-09-01,374.68,1
INV0000339,SUB00046_1,ACCT00046,2025-02-01,98.97,1
INV0000340,SUB00046_1,ACCT00046,2025-03-01,99.95,1
INV0000341,SUB00046_1,ACCT00046,2025-04-01,97.4,0
INV0000342,SUB00046_1,ACCT00046,2025-05-01,98.51,1
INV0000343,SUB00047_1,ACCT00047,2024-12-01,332.74,1
INV0000344,SUB00047_1,ACCT00047,2025-01-01,336.13,1
INV0000345,SUB00047_1,ACCT00047,2025-02-01,337.94,1
INV0000346,SUB00047_1,ACCT00047,2025-03-01,318.05,0
INV0000347,SUB00047_1,ACCT00047,2025-04-01,323.82,1
INV0000348,SUB00047_1,ACCT00047,2025-05-01,336.81,1
INV0000349,SUB00047_1,ACCT00047,2025-06-01,331.28,1
INV0000350,SUB00047_1,ACCT00047,2025-07-01,338.39,1
INV0000351,SUB00047_1,ACCT00047,2025-08-01,321.68,1
INV0000352,SUB00048_1,ACCT00048,2024-12-01,365.65,1
INV0000353,SUB00048_1,ACCT00048,2025-01-01,374.8,1
INV0000354,SUB00048_1,ACCT00048,2025-02-01,359.55,1
INV0000355,SUB00048_1,ACCT00048,2025-03-01,366.01,1
INV0000356,SUB00048_1,ACCT00048,2025-04-01,361.85,1
INV0000357,SUB00048_1,ACCT00048,2025-05-01,369.14,0
INV0000358,SUB00049_1,ACCT00049,2025-04-01,95.62,1
INV0000359,SUB00049_1,ACCT00049,2025-05-01,91.18,1
INV0000360,SUB00049_1,ACCT00049,2025-06-01,100.53,1
INV0000361,SUB00049_1,ACCT00049,2025-07-01,91.01,1
INV0000362,SUB00049_1,ACCT00049,2025-08-01,97.18,1
INV0000363,SUB00050_1,ACCT00050,2025-05-01,89.26,1
INV0000364,SUB00050_1,ACCT00050,2025-06-01,83.7,1
INV0000365,SUB00050_1,ACCT00050,2025-07-01,85.96,1
INV0000366,SUB00050_1,ACCT00050,2025-08-01,86.26,1
INV0000367,SUB00051_1,ACCT00051,2024-10-01,1574.26,1
INV0000368,SUB00051_1,ACCT00051,2024-11-01,1606.69,1
INV0000369,SUB00051_1,ACCT00051,2024-12-01,1508.41,1
INV0000370,SUB00051_1,ACCT00051,2025-01-01,1559.8,1
INV0000371,SUB00051_1,ACCT00051,2025-02-01,1611.6,1
INV0000372,SUB00051_1,ACCT00051,2025-03-01,1616.03,1
INV0000373,SUB00051_1,ACCT00051,2025-04-01,1619.41,1
INV0000374,SUB00051_1,ACCT00051,2025-05-01,1607.84,1
INV0000375,SUB00051_1,ACCT00051,2025-06-01,1558.33,1
INV0000376,SUB00051_1,ACCT00051,2025-07-01,1520.95,1
INV0000377,SUB00051_1,ACCT00051,2025-08-01,1622.74,1
INV0000378,SUB00051_2,ACCT00051,2025-08-01,91.31,1
INV0000379,SUB00052_1,ACCT00052,2024-10-01,1967.8,1
INV0000380,SUB00052_1,ACCT00052,2024-11-01,1868.22,1
INV0000381,SUB00052_1,ACCT00052,2024-12-01,1830.85,1
INV0000382,SUB00052_1,ACCT00052,2025-01-01,1947.8,1
INV0000383,SUB00052_1,ACCT00052,2025-02-01,2016.44,1
INV0000384,SUB00052_1,ACCT00052,2025-03-01,1894.03,1
INV0000385,SUB00052_1,ACCT00052,2025-04-01,1850.45,1
INV0000386,SUB00052_1,ACCT00052,2025-05-01,1952.72,1
INV0000387,SUB00052_1,ACCT00052,2025-06-01,1947.43,1
INV0000388,SUB00052_2,ACCT00052,2025-06-01,368.75,1
INV0000389,SUB00052_2,ACCT00052,2025-07-01,358.44,1
INV0000390,SUB00052_2,ACCT00052,2025-08-01,391.74,1
INV0000391,SUB00053_1,ACCT00053,2025-01-01,385.38,1
INV0000392,SUB00053_1,ACCT00053,2025-02-01,407.07,1
INV0000393,SUB00053_1,ACCT00053,2025-03-01,373.21,1
INV0000394,SUB00053_1,ACCT00053,2025-04-01,393.6,0
INV0000395,SUB00053_1,ACCT00053,2025-05-01,380.97,1
INV0000396,SUB00053_1,ACCT00053,2025-06-01,387.3,0
INV0000397,SUB00053_1,ACCT00053,2025-07-01,395.91,1
INV0000398,SUB00053_1,ACCT00053,2025-08-01,386.9,1
INV0000399,SUB00053_2,ACCT00053,2025-08-01,83.8,1
INV0000400,SUB00054_1,ACCT00054,2024-09-01,354.6,1
INV0000401,SUB00054_1,ACCT00054,2024-10-01,344.26,1
INV0000402,SUB00054_1,ACCT00054,2024-11-01,338.2,1
INV0000403,SUB00054_1,ACCT00054,2024-12-01,341.88,0
INV0000404,SUB00054_1,ACCT00054,2025-01-01,360.76,1
INV0000405,SUB00054_1,ACCT00054,2025-02-01,340.4,1
INV0000406,SUB00054_1,ACCT00054,2025-03-01,330.79,1
INV0000407,SUB00054_1,ACCT00054,2025-04-01,360.03,1
INV0000408,SUB00054_1,ACCT00054,2025-05-01,362.65,1
INV0000409,SUB00054_1,ACCT00054,2025-06-01,338.89,1
