date,channel,spend,conversions
2024-03-07,Search,1112.19,77
2024-03-08,Search,1400.88,79
2024-03-09,Search,1420.21,79
2024-03-10,Search,1455.83,83
2024-03-11,Search,1746.21,70
2024-03-12,Search,1237.89,77
2024-03-13,Search,1354.74,69
2024-03-14,Search,1113.83,75
2024-03-15,Search,1180.85,79
2024-03-16,Search,1389.47,74
2024-03-17,Search,1382.02,65
2024-03-18,Search,1282.45,81
2024-03-19,Search,1310.88,69
2024-03-20,Search,1676.35,69
2024-03-21,Search,1378.51,69
2024-03-22,Search,1291.38,59
2024-03-23,Search,1413.0,60
2024-03-24,Search,1252.9,68
2024-03-25,Search,1290.69,87
2024-03-26,Search,1445.44,77
2024-03-27,Search,1484.15,72
2024-03-28,Search,1288.68,77
2024-03-29,Search,1443.63,76
2024-03-30,Search,1290.49,77
2024-03-31,Search,1540.4,68
2024-04-01,Search,1496.95,69
2024-04-02,Search,1596.19,64
2024-04-03,Search,1466.27,84
2024-04-04,Search,1601.8,82
2024-04-05,Search,1403.09,92
2024-04-06,Search,1439.58,74
2024-04-07,Search,1506.31,78
2024-04-08,Search,1539.5,78
2024-04-09,Search,1574.31,63
2024-04-10,Search,1527.17,66
2024-04-11,Search,1270.0,83
2024-04-12,Search,1447.03,53
2024-04-13,Search,1480.81,70
2024-04-14,Search,1667.66,79
2024-04-15,Search,1115.67,70
2024-04-16,Search,1538.29,80
2024-04-17,Search,1356.39,91
2024-04-18,Search,1361.2,64
2024-04-19,Search,1832.32,75
2024-04-20,Search,1303.62,87
2024-04-21,Search,1357.16,84
2024-04-22,Search,1342.43,61
2024-04-23,Search,1557.19,68
2024-04-24,Search,1194.68,78
2024-04-25,Search,1339.36,91
2024-04-26,Search,1454.79,79
2024-04-27,Search,1281.67,66
2024-04-28,Search,1050.24,69
2024-04-29,Search,1393.68,73
2024-04-30,Search,1451.71,101
2024-05-01,Search,1403.1,71
2024-05-02,Search,1468.59,75
2024-05-03,Search,1679.8,82
2024-05-04,Search,1486.97,80
2024-05-05,Search,1244.9,64
2024-05-06,Search,1482.88,85
2024-05-07,Search,1830.09,60
2024-05-08,Search,1294.67,65
2024-05-09,Search,1504.46,72
2024-05-10,Search,1429.85,82
2024-05-11,Search,1540.1,86
2024-05-12,Search,1445.63,71
2024-05-13,Search,1404.76,77
2024-05-14,Search,1327.0,74
2024-05-15,Search,1368.61,73
2024-05-16,Search,1444.86,86
2024-05-17,Search,1786.21,86
2024-05-18,Search,1329.41,74
2024-05-19,Search,1394.17,83
2024-05-20,Search,1391.69,77
2024-05-21,Search,1448.58,99
2024-05-22,Search,1292.92,63
2024-05-23,Search,1307.23,74
2024-05-24,Search,1297.05,62
2024-05-25,Search,1370.27,66
2024-05-26,Search,1313.04,82
2024-05-27,Search,1317.77,72
2024-05-28,Search,1499.23,76
2024-05-29,Search,1632.2,86
2024-05-30,Search,1461.94,82
2024-05-31,Search,1171.54,67
2024-06-01,Search,1441.9,76
2024-06-02,Search,1325.0,80
2024-06-03,Search,1600.77,81
2024-06-04,Search,1306.73,59
2024-06-05,Search,1228.43,64
2024-06-06,Search,1509.23,77
2024-06-07,Search,1392.34,54
2024-06-08,Search,1386.2,82
2024-06-09,Search,1507.98,61
2024-06-10,Search,1286.37,71
2024-06-11,Search,1541.23,73
2024-06-12,Search,1133.9,77
2024-06-13,Search,1399.39,67
2024-06-14,Search,1435.01,81
2024-06-15,Search,1702.01,72
2024-06-16,Search,1410.02,71
2024-06-17,Search,1576.32,81
2024-06-18,Search,1691.64,70
2024-06-19,Search,1487.84,80
2024-06-20,Search,1406.38,80
2024-06-21,Search,1467.07,85
2024-06-22,Search,1437.71,79
2024-06-23,Search,1371.0,85
2024-06-24,Search,1294.91,64
2024-06-25,Search,1395.71,92
2024-06-26,Search,1592.99,74
2024-06-27,Search,1321.43,74
2024-06-28,Search,1567.37,96
2024-06-29,Search,1341.43,64
2024-06-30,Search,1573.09,90
2024-01-01,Social,885.07,42
2024-01-02,Social,982.88,59
2024-01-03,Social,693.37,49
2024-01-04,Social,747.47,52
2024-01-05,Social,911.98,53
2024-01-06,Social,1100.05,41
2024-01-07,Social,688.36,28
2024-01-08,Social,867.48,37
2024-01-09,Social,709.59,51
2024-01-10,Social,1000.58,48
2024-01-11,Social,879.95,51
2024-01-12,Social,1008.38,49
2024-01-13,Social,1068.98,44
2024-01-14,Social,685.34,47
2024-01-15,Social,845.81,49
2024-01-16,Social,1004.61,40
2024-01-17,Social,928.19,36
2024-01-18,Social,813.35,52
2024-01-19,Social,891.96,48
2024-01-20,Social,932.57,49
2024-01-21,Social,801.79,43
2024-01-22,Social,838.84,47
2024-01-23,Social,951.15,53
2024-01-24,Social,767.07,50
2024-01-25,Social,984.44,64
2024-01-26,Social,937.42,43
2024-01-27,Social,951.17,43
2024-01-28,Social,811.37,45
2024-01-29,Social,818.6,55
2024-01-30,Social,989.34,45
2024-01-31,Social,807.43,50
2024-02-01,Social,892.13,49
2024-02-02,Social,765.46,51
2024-02-03,Social,776.56,47
2024-02-04,Social,798.71,48
2024-02-05,Social,1022.64,49
2024-02-06,Social,874.42,48
2024-02-07,Social,725.83,48
2024-02-08,Social,973.4,42
2024-02-09,Social,968.46,47
2024-02-10,Social,887.61,32
2024-02-11,Social,829.44,52
2024-02-12,Social,1011.51,54
2024-02-13,Social,983.66,46
2024-02-14,Social,765.24,41
2024-02-15,Social,744.93,34
2024-02-16,Social,835.18,48
2024-02-17,Social,766.32,48
2024-02-18,Social,832.75,49
2024-02-19,Social,825.17,36
2024-02-20,Social,839.5,54
2024-02-21,Social,836.11,47
2024-02-22,Social,987.86,40
2024-02-23,Social,885.94,43
2024-02-24,Social,768.87,40
2024-02-25,Social,803.1,40
2024-02-26,Social,865.29,55
2024-02-27,Social,845.25,39
2024-02-28,Social,876.95,45
2024-02-29,Social,791.73,37
2024-03-01,Social,1065.54,53
2024-03-02,Social,901.36,45
2024-03-03,Social,1003.6,53
2024-03-04,Social,812.7,48
2024-03-05,Social,916.24,52
2024-03-06,Social,953.13,64
2024-03-07,Social,1046.22,33
2024-03-08,Social,905.07,42
2024-03-09,Social,955.56,58
2024-03-10,Social,819.16,41
2024-03-11,Social,1089.58,47
2024-03-12,Social,974.09,34
2024-03-13,Social,977.49,28
2024-03-14,Social,894.0,57
2024-03-15,Social,972.32,48
2024-03-16,Social,1003.16,44
2024-03-17,Social,788.19,63
2024-03-18,Social,923.11,60
2024-03-19,Social,837.81,44
2024-03-20,Social,873.1,41
2024-03-21,Social,796.8,39
2024-03-22,Social,783.19,47
2024-03-23,Social,806.98,36
2024-03-24,Social,750.66,39
2024-03-25,Social,847.39,54
2024-03-26,Social,894.57,47
2024-03-27,Social,794.42,54
2024-03-28,Social,961.62,34
2024-03-29,Social,802.33,46
2024-03-30,Social,905.12,46
2024-03-31,Social,777.99,53
2024-04-01,Social,878.07,46
2024-04-02,Social,927.48,50
2024-04-03,Social,854.53,33
2024-04-04,Social,855.93,53
2024-04-05,Social,1081.06,41
2024-04-06,Social,983.25,40
2024-04-07,Social,1145.23,54
2024-04-08,Social,807.54,39
2024-04-09,Social,844.92,55
2024-04-10,Social,800.41,40
2024-04-11,Social,765.58,44
2024-04-12,Social,778.45,46
2024-04-13,Social,924.18,37
2024-04-14,Social,844.79,53
2024-04-15,Social,1065.19,41
2024-04-16,Social,907.92,42
2024-04-17,Social,737.66,46
2024-04-18,Social,975.19,54
2024-04-19,Social,906.4,58
2024-04-20,Social,840.94,38
2024-04-21,Social,1062.43,54
2024-04-22,Social,859.88,38
2024-04-23,Social,1037.33,41
2024-04-24,Social,977.0,50
2024-04-25,Social,1025.21,46
2024-04-26,Social,764.88,34
2024-04-27,Social,747.89,51
2024-04-28,Social,1083.22,51
2024-04-29,Social,1019.16,57
2024-04-30,Social,715.3,37
2024-05-01,Social,937.54,48
2024-05-02,Social,716.12,33
2024-05-03,Social,1009.55,55
2024-05-04,Social,821.62,50
2024-05-05,Social,754.02,44
2024-05-06,Social,919.96,46
2024-05-07,Social,889.63,46
2024-05-08,Social,1095.74,45
2024-05-09,Social,730.42,49
2024-05-10,Social,755.78,35
2024-05-11,Social,949.59,38
2024-05-12,Social,762.11,44
2024-05-13,Social,903.21,50
2024-05-14,Social,866.61,43
2024-05-15,Social,852.51,49
2024-05-16,Social,996.08,51
2024-05-17,Social,860.81,50
2024-05-18,Social,869.57,39
2024-05-19,Social,925.3,41
2024-05-20,Social,972.88,43
2024-05-21,Social,1165.17,53
2024-05-22,Social,1028.41,44
2024-05-23,Social,968.36,50
2024-05-24,Social,858.13,55
2024-05-25,Social,813.78,52
2024-05-26,Social,924.17,42
2024-05-27,Social,1012.77,51
2024-05-28,Social,1019.74,38
2024-05-29,Social,970.06,46
2024-05-30,Social,857.52,47
2024-05-31,Social,980.6,72
2024-06-01,Social,1070.36,46
2024-06-02,Social,920.96,42
2024-06-03,Social,735.5,40
2024-06-04,Social,1103.16,54
2024-06-05,Social,976.5,52
2024-06-06,Social,889.29,54
2024-06-07,Social,926.28,56
2024-06-08,Social,1020.67,52
2024-06-09,Social,1043.55,37
2024-06-10,Social,1094.5,44
2024-06-11,Social,829.52,42
2024-06-12,Social,982.12,53
2024-06-13,Social,774.9,55
2024-06-14,Social,679.49,47
2024-06-15,Social,969.21,57
2024-06-16,Social,830.13,34
2024-06-17,Social,842.19,52
2024-06-18,Social,921.37,55
2024-06-19,Social,838.04,33
2024-06-20,Social,912.96,49
2024-06-21,Social,969.9,51
2024-06-22,Social,1013.09,57
2024-06-23,Social,995.44,48
2024-06-24,Social,942.75,43
2024-06-25,Social,1026.65,54
2024-06-26,Social,712.11,54
2024-06-27,Social,937.42,49
2024-06-28,Social,846.67,48
2024-06-29,Social,862.28,41
2024-06-30,Social,925.79,37
2024-01-01,Display,754.41,30
2024-01-02,Display,660.56,42
2024-01-03,Display,555.11,32
2024-01-04,Display,823.11,34
2024-01-05,Display,603.32,24
2024-01-06,Display,698.87,30
2024-01-07,Display,588.43,21
2024-01-08,Display,575.8,28
2024-01-09,Display,727.22,32
2024-01-10,Display,629.51,24
2024-01-11,Display,607.07,24
2024-01-12,Display,730.38,22
2024-01-13,Display,479.94,31
2024-01-14,Display,681.55,30
2024-01-15,Display,776.89,41
2024-01-16,Display,641.03,20
2024-01-17,Display,700.43,22
2024-01-18,Display,686.45,30
2024-01-19,Display,538.82,27
2024-01-20,Display,697.08,26
2024-01-21,Display,817.83,30
2024-01-22,Display,708.37,39
2024-01-23,Display,622.77,31
2024-01-24,Display,719.11,36
2024-01-25,Display,596.1,31
2024-01-26,Display,642.88,25
2024-01-27,Display,599.93,30
2024-01-28,Display,780.92,23
2024-01-29,Display,625.28,28
2024-01-30,Display,701.09,22
2024-01-31,Display,610.05,33
2024-02-01,Display,628.87,20
2024-02-02,Display,714.55,41
2024-02-03,Display,730.05,33
2024-02-04,Display,743.26,32
2024-02-05,Display,780.14,33
2024-02-06,Display,659.23,31
2024-02-07,Display,660.36,33
2024-02-08,Display,638.65,37
2024-02-09,Display,529.89,28
2024-02-10,Display,742.42,27
2024-02-11,Display,848.3,33
2024-02-12,Display,572.37,21
2024-02-13,Display,622.14,26
2024-02-14,Display,837.12,34
2024-02-15,Display,797.71,34
2024-02-16,Display,705.86,33
2024-02-17,Display,879.17,29
2024-02-18,Display,682.52,29
2024-02-19,Display,775.57,40
2024-02-20,Display,762.77,28
2024-02-21,Display,745.96,28
2024-02-22,Display,809.66,35
2024-02-23,Display,708.15,28
2024-02-24,Display,797.28,30
2024-02-25,Display,706.37,38
2024-02-26,Display,734.69,24
2024-02-27,Display,660.43,32
2024-02-28,Display,726.12,28
2024-02-29,Display,698.44,29
2024-03-01,Display,690.86,33
2024-03-02,Display,708.2,28
2024-03-03,Display,880.87,35
2024-03-04,Display,629.46,29
2024-03-05,Display,728.71,28
2024-03-06,Display,589.1,22
2024-03-07,Display,690.38,34
2024-03-08,Display,662.19,26
2024-03-09,Display,759.78,28
2024-03-10,Display,830.3,33
2024-03-11,Display,679.09,44
2024-03-12,Display,788.91,29
2024-03-13,Display,826.2,32
2024-03-14,Display,732.26,31
2024-03-15,Display,730.79,29
2024-03-16,Display,617.2,25
2024-03-17,Display,653.49,18
2024-03-18,Display,690.56,31
2024-03-19,Display,676.9,31
2024-03-20,Display,748.43,30
2024-03-21,Display,565.06,28
2024-03-22,Display,841.72,34
2024-03-23,Display,827.94,34
2024-03-24,Display,777.8,29
2024-03-25,Display,650.24,29
2024-03-26,Display,679.93,39
2024-03-27,Display,708.34,31
2024-03-28,Display,635.89,22
2024-03-29,Display,753.64,23
2024-03-30,Display,627.73,25
2024-03-31,Display,744.5,42
2024-04-01,Display,731.18,30
2024-04-02,Display,728.36,32
2024-04-03,Display,724.34,27
2024-04-04,Display,528.8,31
2024-04-05,Display,727.46,31
2024-04-06,Display,575.8,29
2024-04-07,Display,715.28,36
2024-04-08,Display,706.01,25
2024-04-09,Display,677.33,36
2024-04-10,Display,773.05,30
2024-04-11,Display,550.59,29
2024-04-12,Display,905.44,35
2024-04-13,Display,633.6,32
2024-04-14,Display,616.87,25
2024-04-15,Display,686.73,35
2024-04-16,Display,591.64,31
2024-04-17,Display,679.36,26
2024-04-18,Display,855.31,36
2024-04-19,Display,701.17,34
2024-04-20,Display,697.25,33
2024-04-21,Display,477.32,32
2024-04-22,Display,581.77,19
2024-04-23,Display,760.62,21
2024-04-24,Display,679.81,28
2024-04-25,Display,609.19,26
2024-04-26,Display,777.62,31
2024-04-27,Display,569.24,19
2024-04-28,Display,717.73,36
2024-04-29,Display,709.6,18
2024-04-30,Display,586.75,27
2024-05-01,Display,654.66,25
2024-05-02,Display,786.45,29
2024-05-03,Display,545.37,24
2024-05-04,Display,715.69,25
2024-05-05,Display,618.03,26
2024-05-06,Display,627.9,22
2024-05-07,Display,796.54,31
2024-05-08,Display,759.45,32
2024-05-09,Display,638.92,19
2024-05-10,Display,731.94,26
2024-05-11,Display,694.11,31
2024-05-12,Display,609.19,22
2024-05-13,Display,778.82,27
2024-05-14,Display,718.66,27
2024-05-15,Display,821.55,34
2024-05-16,Display,706.91,34
2024-05-17,Display,662.58,17
2024-05-18,Display,587.07,32
2024-05-19,Display,830.24,38
2024-05-20,Display,605.69,24
2024-05-21,Display,646.43,26
2024-05-22,Display,819.32,29
2024-05-23,Display,717.05,37
2024-05-24,Display,724.01,29
2024-05-25,Display,584.14,19
2024-05-26,Display,698.62,30
2024-05-27,Display,757.28,33
2024-05-28,Display,768.92,35
2024-05-29,Display,685.96,42
2024-05-30,Display,702.41,27
2024-05-31,Display,754.22,36
2024-06-01,Display,692.0,17
2024-06-02,Display,790.19,45
2024-06-03,Display,653.05,28
2024-06-04,Display,578.37,23
2024-06-05,Display,720.48,28
2024-06-06,Display,855.12,37
2024-06-07,Display,679.74,25
2024-06-08,Display,728.79,30
2024-06-09,Display,716.51,25
2024-06-10,Display,696.63,32
2024-06-11,Display,662.52,22
2024-06-12,Display,766.01,35
2024-06-13,Display,826.29,34
2024-06-14,Display,679.24,33
2024-06-15,Display,652.02,37
2024-06-16,Display,758.65,29
2024-06-17,Display,810.66,23
2024-06-18,Display,645.28,25
2024-06-19,Display,697.95,27
2024-06-20,Display,751.54,23
2024-06-21,Display,659.41,29
2024-06-22,Display,841.45,32
2024-06-23,Display,754.8,34
2024-06-24,Display,741.5,35
2024-06-25,Display,745.66,23
2024-06-26,Display,669.55,34
2024-06-27,Display,696.06,22
2024-06-28,Display,569.25,32
2024-06-29,Display,672.98,27
2024-06-30,Display,678.24,36
2024-01-01,Email,354.83,19
2024-01-02,Email,319.53,13
2024-01-03,Email,279.76,6
2024-01-04,Email,291.87,11
2024-01-05,Email,313.53,17
2024-01-06,Email,261.92,20
2024-01-07,Email,307.09,24
2024-01-08,Email,274.09,12
2024-01-09,Email,286.14,10
2024-01-10,Email,288.87,15
2024-01-11,Email,256.94,14
2024-01-12,Email,276.78,17
2024-01-13,Email,329.59,13
2024-01-14,Email,312.86,11
2024-01-15,Email,311.84,21
2024-01-16,Email,288.2,13
2024-01-17,Email,291.55,16
2024-01-18,Email,314.55,10
2024-01-19,Email,299.05,15
2024-01-20,Email,257.93,13
2024-01-21,Email,249.53,13
2024-01-22,Email,281.87,7
2024-01-23,Email,355.8,19
2024-01-24,Email,347.06,15
2024-01-25,Email,252.46,4
2024-01-26,Email,308.36,13
2024-01-27,Email,323.64,19
2024-01-28,Email,314.86,24
2024-01-29,Email,270.63,14
2024-01-30,Email,352.33,14
2024-01-31,Email,317.37,17
2024-02-01,Email,245.47,12
2024-02-02,Email,313.87,11
2024-02-03,Email,320.19,16
2024-02-04,Email,318.5,15
2024-02-05,Email,323.45,14
2024-02-06,Email,302.95,21
2024-02-07,Email,339.2,16
2024-02-08,Email,307.79,12
2024-02-09,Email,306.71,17
2024-02-10,Email,331.17,14
2024-02-11,Email,314.58,14
2024-02-12,Email,282.57,8
2024-02-13,Email,297.86,13
2024-02-14,Email,248.51,16
2024-02-15,Email,300.37,13
2024-02-16,Email,286.13,14
2024-02-17,Email,229.72,15
2024-02-18,Email,282.25,14
2024-02-19,Email,311.06,16
2024-02-20,Email,321.97,11
2024-02-21,Email,292.72,8
2024-02-22,Email,300.76,11
2024-02-23,Email,321.43,19
2024-02-24,Email,328.5,23
2024-02-25,Email,275.62,13
2024-02-26,Email,279.71,14
2024-02-27,Email,308.35,12
2024-02-28,Email,353.11,21
2024-02-29,Email,289.61,17
2024-03-01,Email,314.46,14
2024-03-02,Email,272.17,14
2024-03-03,Email,272.38,11
2024-03-04,Email,278.42,10
2024-03-05,Email,367.54,15
2024-03-06,Email,365.93,13
2024-03-07,Email,344.56,18
2024-03-08,Email,322.42,15
2024-03-09,Email,259.51,12
2024-03-10,Email,304.16,9
2024-03-11,Email,334.98,15
2024-03-12,Email,236.69,23
2024-03-13,Email,302.67,12
2024-03-14,Email,298.82,11
2024-03-15,Email,266.16,10
2024-03-16,Email,318.15,13
2024-03-17,Email,256.88,11
2024-03-18,Email,292.05,18
2024-03-19,Email,217.13,10
2024-03-20,Email,311.21,17
2024-03-21,Email,307.32,15
2024-03-22,Email,331.74,8
2024-03-23,Email,319.4,17
2024-03-24,Email,368.74,19
2024-03-25,Email,268.9,21
2024-03-26,Email,267.33,10
2024-03-27,Email,327.05,12
2024-03-28,Email,235.02,15
2024-03-29,Email,240.19,12
2024-03-30,Email,286.16,12
2024-03-31,Email,351.9,19
2024-04-01,Email,278.26,16
2024-04-02,Email,285.17,20
2024-04-03,Email,374.71,13
2024-04-04,Email,263.71,9
2024-04-05,Email,292.11,18
2024-04-06,Email,341.18,18
2024-04-07,Email,308.94,22
2024-04-08,Email,282.8,12
2024-04-09,Email,264.76,16
2024-04-10,Email,348.8,14
2024-04-11,Email,353.86,20
2024-04-12,Email,304.65,13
2024-04-13,Email,316.97,15
2024-04-14,Email,295.47,9
2024-04-15,Email,284.63,11
2024-04-16,Email,253.38,10
2024-04-17,Email,290.18,14
2024-04-18,Email,340.56,21
2024-04-19,Email,299.13,16
2024-04-20,Email,280.44,14
2024-04-21,Email,339.29,12
2024-04-22,Email,272.0,15
2024-04-23,Email,259.35,16
2024-04-24,Email,286.51,7
2024-04-25,Email,322.17,12
2024-04-26,Email,293.34,16
2024-04-27,Email,321.82,7
2024-04-28,Email,296.52,22
2024-04-29,Email,305.41,16
2024-04-30,Email,326.76,11
2024-05-01,Email,271.98,16
2024-05-02,Email,317.01,12
2024-05-03,Email,253.94,6
2024-05-04,Email,272.81,8
2024-05-05,Email,337.93,18
2024-05-06,Email,325.21,14
2024-05-07,Email,274.69,12
2024-05-08,Email,279.75,10
2024-05-09,Email,291.09,11
2024-05-10,Email,321.98,16
2024-05-11,Email,240.21,10
2024-05-12,Email,337.91,16
2024-05-13,Email,281.42,15
2024-05-14,Email,282.77,11
2024-05-15,Email,307.08,17
2024-05-16,Email,338.36,13
2024-05-17,Email,352.32,16
2024-05-18,Email,266.93,21
2024-05-19,Email,264.06,9
2024-05-20,Email,313.77,17
2024-05-21,Email,280.88,12
2024-05-22,Email,279.45,14
2024-05-23,Email,245.43,11
2024-05-24,Email,312.04,10
2024-05-25,Email,273.69,26
2024-05-26,Email,342.78,9
2024-05-27,Email,366.48,22
2024-05-28,Email,318.26,11
2024-05-29,Email,305.28,17
2024-05-30,Email,346.02,16
2024-05-31,Email,377.88,17
2024-06-01,Email,310.04,17
2024-06-02,Email,263.05,16
2024-06-03,Email,313.58,11
2024-06-04,Email,220.84,9
2024-06-05,Email,279.69,6
2024-06-06,Email,261.48,16
2024-06-07,Email,312.67,16
2024-06-08,Email,316.44,21
2024-06-09,Email,325.52,11
2024-06-10,Email,248.49,15
2024-06-11,Email,231.98,12
2024-06-12,Email,315.32,13
2024-06-13,Email,331.59,16
2024-06-14,Email,275.45,11
2024-06-15,Email,320.61,20
2024-06-16,Email,314.17,18
2024-06-17,Email,307.11,16
2024-06-18,Email,282.58,16
2024-06-19,Email,377.12,15
2024-06-20,Email,263.18,20
2024-06-21,Email,356.66,19
2024-06-22,Email,283.48,13
2024-06-23,Email,243.25,10
2024-06-24,Email,309.38,21
2024-06-25,Email,286.66,17
2024-06-26,Email,259.69,15
2024-06-27,Email,317.17,10
2024-06-28,Email,284.59,7
2024-06-29,Email,374.76,17
2024-06-30,Email,292.93,8
2024-01-01,Affiliate,242.98,8
2024-01-02,Affiliate,236.1,10
2024-01-03,Affiliate,219.62,13
2024-01-04,Affiliate,252.03,11
2024-01-05,Affiliate,231.98,7
2024-01-06,Affiliate,274.68,15
2024-01-07,Affiliate,272.15,10
2024-01-08,Affiliate,236.18,6
2024-01-09,Affiliate,229.69,5
2024-01-10,Affiliate,259.94,13
2024-01-11,Affiliate,274.38,11
2024-01-12,Affiliate,260.84,5
2024-01-13,Affiliate,252.61,8
2024-01-14,Affiliate,294.34,6
2024-01-15,Affiliate,234.11,10
2024-01-16,Affiliate,238.24,7
2024-01-17,Affiliate,207.54,11
2024-01-18,Affiliate,306.59,12
2024-01-19,Affiliate,251.81,15
2024-01-20,Affiliate,284.28,12
2024-01-21,Affiliate,267.61,12
2024-01-22,Affiliate,203.48,9
2024-01-23,Affiliate,226.5,7
2024-01-24,Affiliate,201.78,13
2024-01-25,Affiliate,265.66,10
2024-01-26,Affiliate,258.79,16
2024-01-27,Affiliate,220.76,7
2024-01-28,Affiliate,274.66,10
2024-01-29,Affiliate,247.69,11
2024-01-30,Affiliate,242.06,7
2024-01-31,Affiliate,243.3,9
2024-02-01,Affiliate,236.6,9
2024-02-02,Affiliate,223.48,7
2024-02-03,Affiliate,282.49,12
2024-02-04,Affiliate,265.45,14
2024-02-05,Affiliate,240.54,13
2024-02-06,Affiliate,319.44,8
2024-02-07,Affiliate,251.93,12
2024-02-08,Affiliate,251.37,7
2024-02-09,Affiliate,230.15,15
2024-02-10,Affiliate,213.99,10
2024-02-11,Affiliate,212.17,9
2024-02-12,Affiliate,288.01,12
2024-02-13,Affiliate,152.76,9
2024-02-14,Affiliate,236.8,8
2024-02-15,Affiliate,220.55,13
2024-02-16,Affiliate,253.41,11
2024-02-17,Affiliate,245.45,9
2024-02-18,Affiliate,232.32,6
2024-02-19,Affiliate,274.39,10
2024-02-20,Affiliate,249.37,11
2024-02-21,Affiliate,243.47,12
2024-02-22,Affiliate,270.46,12
2024-02-23,Affiliate,225.45,13
2024-02-24,Affiliate,268.72,17
2024-02-25,Affiliate,279.25,11
2024-02-26,Affiliate,225.33,14
2024-02-27,Affiliate,206.56,11
2024-02-28,Affiliate,275.73,12
2024-02-29,Affiliate,259.68,19
2024-03-01,Affiliate,270.7,11
2024-03-02,Affiliate,250.74,7
2024-03-03,Affiliate,276.17,9
2024-03-04,Affiliate,186.28,5
2024-03-05,Affiliate,278.51,6
2024-03-06,Affiliate,285.38,13
2024-03-07,Affiliate,202.17,13
2024-03-08,Affiliate,217.97,8
2024-03-09,Affiliate,203.98,6
2024-03-10,Affiliate,285.38,21
2024-03-11,Affiliate,269.36,9
2024-03-12,Affiliate,214.5,7
2024-03-13,Affiliate,298.86,7
2024-03-14,Affiliate,187.98,7
2024-03-15,Affiliate,234.58,11
2024-03-16,Affiliate,234.09,6
2024-03-17,Affiliate,308.94,9
2024-03-18,Affiliate,268.43,5
2024-03-19,Affiliate,204.54,11
2024-03-20,Affiliate,342.37,18
2024-03-21,Affiliate,227.31,12
2024-03-22,Affiliate,249.76,7
2024-03-23,Affiliate,218.88,10
2024-03-24,Affiliate,208.04,10
2024-03-25,Affiliate,251.46,5
2024-03-26,Affiliate,232.7,7
2024-03-27,Affiliate,199.92,3
2024-03-28,Affiliate,201.17,10
2024-03-29,Affiliate,248.02,8
2024-03-30,Affiliate,280.19,11
2024-03-31,Affiliate,175.85,10
2024-04-01,Affiliate,252.6,7
2024-04-02,Affiliate,235.37,10
2024-04-03,Affiliate,276.13,17
2024-04-04,Affiliate,193.88,6
2024-04-05,Affiliate,274.88,8
2024-04-06,Affiliate,260.15,13
2024-04-07,Affiliate,236.22,11
2024-04-08,Affiliate,264.37,7
2024-04-09,Affiliate,236.67,13
2024-04-10,Affiliate,262.4,13
2024-04-11,Affiliate,269.63,14
2024-04-12,Affiliate,253.28,12
2024-04-13,Affiliate,306.46,18
2024-04-14,Affiliate,251.67,4
2024-04-15,Affiliate,219.64,11
2024-04-16,Affiliate,239.93,8
2024-04-17,Affiliate,169.09,8
2024-04-18,Affiliate,241.93,8
2024-04-19,Affiliate,255.94,5
2024-04-20,Affiliate,228.61,8
